headline,story-content
"Video Review: After 15-Year Break, Lincoln Continental Returns With Style","The Continental name carries gravitas. So much, in fact, that it’s easy to forget that Lincoln hasn’t used the nameplate since 2002. It’s like realizing that Team Flakes hasn’t been available in the grocery store for years.Unlike the breakfast cereal, Continental is back. After a 15-year sabbatical, this luxury sedan arrives looking toned, confident and, well, familiar. When the concept debuted in 2015, Luc Donckerwolke, Bentley’s design director at the time, famously asked the Lincoln team on Facebook, “Do you want us to send the product tooling?” The production car retains a Bentley Flying Spur silhouette, and the Revel speaker grilles carry an uncanny resemblance to their Burmester counterparts in a Mercedes.As others before me have said, “Good artists copy; great artists steal.”There is original character, especially the exterior door pulls integrated into the chrome window beltline. Touch the electronic pad inside them and the doors open with a slight spring-loaded pop. Top-tier models get a power mechanism that gently cinches the doors closed the last inch or so. They’re not the rear-hinged doors of the 1960s Continentals, but they attract attention.Lincoln wisely decided not to out-German the Germans. Instead, it focused on updating the Continental’s American pampering abilities.Before diving further into this 10th generation (the “Mark” designation is no longer used), a quick Continental primer. The original 1939 model was commissioned by Edsel Ford to be his personal vehicle. Frank Lloyd Wright was so smitten, he bought two. In 1956, the Mark II Continental cost an eye-popping $10,000, and it was a star driven by the stars. Warner Bros. thanked Elizabeth Taylor for making the film “Giant” by giving her one in a custom color that matched her dazzling eyes.The ninth-generation Continental had become a warmed-over Ford. The new one’s sole visual cue to its Ford origins is the Sync 3 user interface. The chassis structure may be adapted from the Fusion/MKZ platform, but that’s out of sight. The Lincoln deservedly gets its own knobs with a ribbed look and feel.There are three V6 engine choices. I drove the most powerful, a twin-turbocharged 3-liter with 400 horsepower and 400 pound-feet of torque. Choosing it demands all-wheel drive that sends varying power to each wheel. Buyer’s note: It’s more sophisticated than the all-wheel-drive mechanics paired to the turbocharged 2.7-liter engine. Base-model Continentals are front-wheel drive.The six-speed transmission operates with push buttons near the dashboard LCD screen. This layout is simplicity defined, but I hesitated every time I engaged it. Could it be too straightforward? Drive modes adjust the steering weight, suspension firmness, and throttle and transmission response. Altering the modes, though, means diving a couple of pages into the menu.The 3-liter moves out smartly with 0- to 60-mile-an-hour excursions taking a brief five seconds. The muted growl is pleasant. The cabin, aided by noise cancellation technology, is hushed in the expected way.Motoring to the grocery store in comfort mode, the Continental mostly shrugs off big bumps and potholes while quelling float and wallow. No need to shop for Dramamine. In its most athletic mode, the big Lincoln hustles through turns in dignified form. It lacks the athletic dynamisms of a Cadillac CT6, but the Lincoln insulates passengers from rough roads more effectively. Given the current state of highways, the Lincoln arguably provides a better real-world dynamic.Continental doesn’t provide the creaminess of a BMW 5 Series or Mercedes E-Class, but it’s more affordable. The base Continentals begin at $45,645. The fully optioned Black Label edition can rise past $81,000. My tester, a well-equipped Reserve model, retails for about $72,600. It comes with a $4,215 technology package that includes automatic emergency braking, adaptive cruise control, head-up display and semiautonomous parking.The Environmental Protection Agency rates the turbo 3-liter’s fuel economy at 16 miles per gallon in the city, 24 highway and a 19 m.p.g. average. That brings up the rear in this class. At least it runs on standard-grade gas.The cabin has the right ambience for a Continental, though it is on the shiny side. Keep a set of sunglasses aboard; there’s enough brightwork and glossy wood to trim a yacht. Run a hand across the dashboard, though, and it feels rubbery; touch the door pulls and the sensation is distinctly vinyl. Perhaps upgrading to the Black Label level puts buttery leather in those places. For $1,500, you get 30-way adjustable seats. Who knew there were 30 ways to tweak a chair?Of course, the back seat is spacious — it’s a Lincoln Continental. Equipped as mine was with an $850 climate package, it offers passengers their own temperature zone, toasty seat cushions and a power rear sunshade. Those who are driven should spring for the $4,300 back seat package that adds all sorts of amenities and a richer Bentley-esque atmosphere. (The rear armrest on my car had plastics more suited to a Focus.)The well-trimmed but modest trunk has the same useful size as a Honda Civic’s. Fortunately, the seats split and fold.Team Flakes may be gone for good, but the Lincoln team did a commendable job of returning the Continental to market. It has been updated to meet modern luxury demands. Shunning retro design and a harsh sporty ride, the Continental feels comfortable in its own skin, even if it’s not a completely original one."
"Fyre Was Bad. For the Concert Industry, This One Could Be Worse.","For the concert industry, the disastrous failure of the Fyre Festival in the Bahamas was an outlier — a sad spectacle, but an isolated one.But the collapse of another event, the Pemberton Music Festival in the mountains of Canada, has put the business on edge, with veteran talent agents and promoters warning that it could have wide implications for the booming festival market.Pemberton, planned for July 13 to 16 with acts including Chance the Rapper, Muse and A Tribe Called Quest, was abruptly canceled on May 18, when the two companies behind it declared bankruptcy. In a break from standard practice, ticket holders were not offered refunds, but were instead told that they could “file a proof of claim form as an unsecured creditor.”Music executives are now aghast over the failure to provide refunds and the maneuvering of investors in the weeks before the festival fell apart. Marc Geiger, the head of music at William Morris Endeavor and an outspoken voice in the business, called Pemberton’s collapse “a fraud and a scam” that could have a domino effect on the industry, hurting smaller promoters the most.“This could be the symbolic end for independently promoted festivals,” he said.Pemberton, held in a picturesque spot about 100 miles north of Vancouver, British Columbia, was a typical entry into the frothy festival business. It was revived in 2014 by Huka Entertainment, a well-known independent promoter, after an earlier iteration failed. According to bankruptcy filings, the festival lost money for three years, and sold 18,000 tickets in 2017, down from 38,000 last year.After the cancellation, fans took to social media to vent and mock using the hashtag #PembyFest. The complaints were not quite the supernova that followed the dissolution of the Fyre Festival, when planeloads of millennials arrived to find a ramshackle site that was far from the luxurious beach paradise they had been sold.But the collapse of both Fyre and Pemberton has once again focused the industry’s attention on what has become a perennial question: Has the ever-expanding festival market hit its peak? High-profile failures like Pemberton and Fyre — which is now facing numerous lawsuits from ticket buyers and others — could erode consumer confidence, Mr. Geiger said.Then there is simply natural competition, as more festivals are added to the calendar.“Well-produced and curated events at a site the public loves will continue to do well,” said Gary Bongiovanni, the editor of the trade publication Pollstar. “But too many events mean the best will survive and the weak will wither.”World-famous events like Coachella began as risky endeavors undertaken by small promoters. If the credit markets for festivals grow too tight, there may be no room for such innovation, said Sam Hunt, an agent with Paradigm Talent Agency whose artists Major Lazer and Run the Jewels had both been booked for Pemberton.“This industry thrives on a variety of creative individuals doing things in new and creative ways,” Mr. Hunt said. “If they become more constrained, everybody loses.”Mr. Geiger reserves a special ire for Pemberton’s investors, among them several wealthy Canadians with no background in the music business. As secured creditors, they now stand a better chance of getting their money back than the fans who paid $275 a ticket. One investor, Amanda Girling, is also chief executive of a company that owns the land on which the festival was held, and which is for sale for $12.5 million.In filings, the two entities that controlled the festival — Pemberton Music Festival Limited Partnership and 1115666 B.C. Ltd. — declared $5 million in assets and $12.5 million in liabilities, with ticket holders listed as having an unsecured claim of $6 million. The first meeting of creditors is scheduled for June 6 in Vancouver.Further muddying the Pemberton situation are questions of control, with Mr. Geiger and others accusing the organizers of swapping shell companies for the investors’ benefit. In April, the investors created 1115666 B.C. and made it general partner of Pemberton Music Festival Limited Partnership, which controlled the festival.William E. J. Skelly, a lawyer for the investors, said in an email that the new company was created to give the directors “greater management control and transparency” over the event’s finances.Less than a month later, the investors resigned as directors of the newly formed company and, the very next day, declared both companies bankrupt.“The fact that somebody decided to stick it to the consumer, not deliver any product, and say they are protected by bankruptcy, is hideous,” Mr. Geiger said.Funds from ticket sales are often held by ticketing companies in case an event is canceled, but smaller promoters may depend on advances to pay expenses. Pemberton’s ticketing company, Ticketfly, paid the festival operators each week, Mr. Skelly said. Ticketfly declined to comment.Mr. Geiger likened this process to the easy availability of credit before the housing crisis, and said the fallout from Pemberton meant that the financing arrangements behind festivals will most likely be tightened. Ticketing companies will be reluctant to pay advances, and artists will demand more money upfront, he said. If that happens, the only companies that could meet the multimillion-dollar capital requirements to stage a large event would be corporate players like Live Nation and AEG.“It may be an advantage for the bigger guys,” said Peter Shapiro, an independent promoter behind Brooklyn Bowl and the Lockn’ festival in Virginia. “But for the new guys starting out, it’s going to be a much more difficult environment.”Some longtime players in the concert industry see these developments as a consequence of the growing corporatization of the business. That process began in the 1990s and has gone through another wave lately, with small promoters bought out by Live Nation and AEG. In this landscape, independents are finding it harder and harder to compete.“What we’re witnessing now is a result of what’s been going on now for more than 10 years with the consolidation of the music industry,” said John Scher, a veteran promoter in New York and New Jersey."
"Trump Awarded a New Chinese Trademark, This Time for Catering","President Trump and his daughter Ivanka could sell jewelry and wedding dresses and provide catering services in China under new trademarks granted in recent days by Beijing.The new trademarks expand the president’s business interests in the world’s second-largest economy after the United States’, which have already stirred complaints over a possible conflict of interest.During his campaign, Mr. Trump regularly blamed China for the loss of American industrial jobs and pledged to take a tough trade stance with Beijing. That position has since softened, in particular after an April meeting with President Xi Jinping of China.As a businessman, Mr. Trump has made money by licensing the use of his name on an array of products around the world, like vodka in Israel or soap in India.He has  added to that list since taking office. Over the last three weeks, China’s trademark office gave preliminary approval for one trademark to Mr. Trump for providing catering services and four to his daughter through her trademarking business, Ivanka Trump Marks. Ms. Trump’s trademarks include those for jewelry, wedding dresses, watches and a range of electronic devices.Mr. Trump applied for the trademark in April 2016, while his daughter applied for the four trademarks from May to July last year.Mr. Trump has at least 89 trademarks registered and 28 others that have won preliminary approval. His daughter now has 17 registered trademarks and six that have won preliminary approval. Trademarks with preliminary approval are formally registered three months later if officials receive no objections.Abigail Klem, the president of Ivanka Trump’s company, said that those trademarks were made “in the normal course of business” and noted that the company had taken similar steps in the past, “especially in regions where trademark infringement is rampant.”She said the firm had seen a “surge” in companies trying to capitalize on the Trump name. “It is our responsibility to diligently protect our trademark,” she said.The Trump Organization did not immediately respond to a request for comment.The latest trademarks give the Trump Organization further control over its brand in a country where opportunists frequently register well-known trademarks in a practice called “trademark squatting.”Since his political rise, leather goods, toilets and cosmetics bearing the Trump name but trademarked by others have been spotted being sold around China. To avoid such problems, lawyers often advise that brands register their trademarks across broad categories of goods.The Trump Organization has said it will not make any more international deals. It is currently being run by Mr. Trump’s two adult sons.China has said it has acted in accordance to law regarding Trump’s trademarks. Still, the family’s business dealings with China have been criticized.Last weekend, two activists investigating labor practices at Chinese factories that make shoes for Ivanka Trump, among other brands, went missing, according to their employer, China Labor Watch, and a third was detained.Mr. Trump’s business interests in China have also concerned some senators, who have pointed out that Beijing could use the trademarks to try to sway United States policy.In February, Mr. Trump won a 10-year legal battle over the right to protect his name brand for construction projects. The ultimate trademark approval was disclosed days after talks with Mr. Xi and after Mr. Trump dropped his challenge of China’s Taiwan policy."
Exxon Vote on Climate Change Puts Other Companies on Notice,"Shareholders of the oil giant Exxon Mobil have finally won a long-sought climate change victory. Over 60 percent of them backed a move that forces the $340 billion company to ramp up global-warming disclosure, up from under 40 percent in a similar attempt last year. Exxon already embraces the debate more than most. But shareholders want the company to be more forthcoming. Holdouts among their industry peers will have to follow or risk investor ire.Exxon's chief executive, Darren Woods, who took the helm at the beginning of the year, wrote in his first blog post about the importance of managing the risks of climate change. On several occasions Mr. Woods has talked about how Exxon does business in an environment in which, under the 2015 Paris accord, nearly 200 countries, including China and India, have agreed to reduce their carbon emissions.At the company’s annual meeting in Dallas on Wednesday, Mr. Woods reiterated Exxon’s commitment to adhere to the guidelines of the agreement even if President Trump decides to withdraw the United States from the deal. Yet Exxon’s energy outlook remains fairly rosy, showing rising oil demand through 2040. Oil and gas development, Mr. Woods said, will still need $11 trillion of investment even under the constraints of the Paris agreement.Some shareholders have for several years found this discussion unsatisfactory. They have asked Exxon to analyze in more depth the potential effect on the company’s business of limits on greenhouse gas emissions, and to try to assess what might happen beyond 2040. And they have demanded access to independent directors to discuss their concerns. The difference this year is that more of them, potentially including big institutions like BlackRock, now want more information. After Wednesday’s vote, the company has to oblige.Speaking to reporters after the meeting, Mr. Woods was vague on Exxon’s plans to comply. It’s not the first time an American company has gotten such a directive from shareholders — it happened at Occidental Petroleum earlier this month, for example — and greater disclosure is more common at European energy groups. Still, Exxon is the world’s largest publicly traded oil and gas company and it sets the standard. Others in the sector should consider themselves on notice."
Harvard Law School Names John Manning Its Next Dean,"Harvard Law School has a new dean.John Manning, a deputy dean and constitutional law professor, will take over as the school’s next dean on July 1, the law school announced on Thursday.His appointment, to succeed Martha L. Minow, who will step down on June 30, drew praise from Elena Kagan, an associate justice of the United States Supreme Court, who served as the law school’s dean from 2003 to 2009.“Having admired John Manning since we were law students together more than 30 years ago, I know he will lead Harvard Law School with the energy, intelligence, collegiality, and good judgment that he brings to everything he does,” Justice Kagan said in a statement. “He embodies a blend of scholarly accomplishment, devotion to teaching, engagement with practice, and passion for the law that represents the best of our profession.”A graduate of both Harvard and Harvard Law School, Mr. Manning takes over the helm at a time when the law school has been carving out a bigger role in making legal education more accessible.In March, the school announced that it would accept results of the Graduate Record Exam, or G.R.E., for the admission of students starting in fall 2018. Law schools traditionally have relied on the Law School Admissions Test, or L.S.A.T., scores for admissions. Harvard Law was only the country’s second law school to say it would accept the G.R.E.When the University of Arizona James E. Rogers College of Law announced its plan last year to accept G.R.E. scores, as well as L.S.A.T. scores, it caused a bit of an uproar in the legal profession.Responding to complaints that the L.S.A.T. was less available than the G.R.E., the Law School Admission Council, which administers the L.S.A.T., announced on Thursday that the test would be given more frequently. It will now be available to students six times a year instead of the longstanding practice of four times.In another step to broaden the field of applicants, Harvard Law last month expanded a pilot program for Harvard juniors to defer admission to the law school as long as they finish college and spend at least two years working, studying or pursuing research or fellowships. As of this fall, juniors from any college who are accepted to the law school can take advantage of the program.As a deputy dean for the last four years, Mr. Manning has been part of those decisions, particularly the move to accept G.R.E. results for admissions.In an interview on Thursday, he said that he planned to consult with faculty, students and alumni to look at the law school curriculum, ways to ensure students have the skills to be excellent lawyers and how to diversify the field of applicants.“We want to make sure we are drawing on students from a diverse applicant pool,” he said. “We want to have a diverse community, which makes for a more lively community.”Mr. Manning joined the law school faculty in 2004 after a decade at Columbia Law School. Previously, he had two stints at the Justice Department, in the Office of Legal Counsel and the solicitor general’s office. Earlier, he was a law clerk to Justice Antonin Scalia, who died last year, and Judge Robert H. Bork of the United States Court of Appeals for the District of Columbia Circuit, who died in 2012.At Harvard Law, Mr. Manning has taught courses on administrative law, federal courts, legislation and regulation, separation of powers and statutory interpretation. He has argued nine cases before the Supreme Court, and is known for his expertise in statutory interpretation and structural constitutional law."
"Stanley F. Whitman, Who Saw Luxury as a Shopping Center Lure, Dies at 98","Stanley F. Whitman, a real estate developer who was hailed as a visionary in the mid-1960s when he had the idea of building an open-air shopping center near Miami Beach for luxury retailers, naming it Bal Harbour Shops, died on May 24 at his home in Miami Shores, Fla. He was 98.His family announced his death. A week before he died, officials in the village of Bal Harbour approved a 350,000-square-foot expansion of Bal Harbour Shops, almost doubling its size. He had helped incorporate the village, at the north end of the Miami Beach barrier island, in 1946.Mr. Whitman was one of the first developers to see the potential of bringing upscale retailers like Neiman Marcus and Saks Fifth Avenue to a shopping center in an outdoor tropical setting. He opened Bal Harbour Shops after visiting retail stores around the world on a kind of fact-finding mission.Landscaped with palm and orange trees, the shopping center is today a stage for more than 100 high-end fashion brands, including Chloé, Dolce & Gabbana, Gucci, Prada and Louis Vuitton. With 450,000 square feet of retail space, it is also one of the biggest revenue creators among American malls, generating $2,555 a square foot in sales a year, according to Mr. Whitman’s company, Whitman Family Development.“He touched so many people’s lives and changed the shopping center industry,” said Cheryl Stephenson, a friend who worked for Mr. Whitman. In the succeeding years, many luxury retail centers have been built, among them the Beverly Center in Los Angeles and The Shops at Crystals in Las Vegas.Stanley Finch Whitman was born on Nov. 15, 1918, in Evanston, Ill., to William and Leona E. Whitman. His father owned a printing company in Chicago and also developed real estate properties in the Miami area.The tropical beach setting of Bal Harbour Shops harked back to Mr. Whitman’s upbringing. He grew up in Miami Beach with his brothers, Bill and Dudley, in a single-family home on the ocean at 32nd Street and Collins Avenue.Mr. Whitman attended Duke University, where he met his future wife, Dottie Stivers. After graduating during World War II, he joined the Navy’s officer training school and went on to oversee a fleet of submarine chasers. He was honorably discharged as a lieutenant commander in 1945.By the time he returned from the war, his father had died. Mr. Whitman assumed responsibility for one of the family’s Miami Beach properties on Lincoln Road, which was one of the hottest shopping districts during the 1920s but was beginning to decline.His grandson, Matthew W. Lazenby, who now leads the company, said Mr. Whitman had worked diligently to keep the Lincoln Road building immaculate. But he grew frustrated with other real estate owners who put little effort into maintaining their properties, contributing to Lincoln Road’s even greater loss of allure in the 1950s and ’60s, Mr. Lazenby said.It was the long-lost glamour of Lincoln Road that inspired Mr. Whitman’s vision for Bal Harbour Shops, Mr. Lazenby said.Mr. Whitman was one of the 25 people who incorporated what would become the village of Bal Harbour in 1946. He teamed up with Robert Graham, a developer there, to build a business district and later bought out Mr. Graham in pursuing his vision for Bal Harbour Shops.Besides Mr. Lazenby, Mr. Whitman is survived by a son, Randall, who has also been involved in the business; a daughter, Gwen W. Lazenby; three other grandchildren; and four great-grandsons. His wife died in 2008.Mr. Whitman’s family described him as an avid weight lifter and tennis player. After his wife, a bicycling enthusiast, suffered a stroke about a year before her death, Mr. Lazenby said, Mr. Whitman spent weeks researching special bicycles for the handicapped until finding one, a two-seater, that allowed her to sit in the rear while he pedaled from the front."
‘Climate Change Is Real’: Many U.S. Companies Lament Paris Accord Exit,"Soon after President Trump announced that the United States would back out of the Paris climate accord, several large companies based in the United States that had supported the international pact said they were disappointed by the decision and would continue their environmental efforts.And two chief executives who sat on Mr. Trump’s economic advisory council — Elon Musk and Robert A. Iger — said they were leaving that group because they disagreed with the exit from the Paris agreement.While Mr. Trump said the decision to exit the deal was made to protect American jobs — a contention that environmental groups have disputed — some large companies had urged the president to stay in the accord.Twenty-five companies, including Apple, Facebook, Google and Microsoft, bought full-page ads in The New York Times, The Wall Street Journal and The New York Post last month to argue their case. Some of those companies, and others with similar views in the technology, energy and engineering sectors, reacted quickly on Thursday.But so did some companies, particularly in the coal industry, that supported Mr. Trump’s decision.Tesla and SpaceXElon Musk, founder of Tesla and SpaceX, said he would leave an advisory council for Mr. Trump.DisneyRobert A. Iger, Disney’s chief executive, also said he would no longer be an advisory council member.General ElectricJeff Immelt, G.E.’s chairman and chief executive, said in a Twitter message:FacebookMark Zuckerberg, the chief executive, wrote on his Facebook page:Twitter and SquareJack Dorsey, the chief executive of both companies, wrote on Twitter:GoogleSundar Pichai, the chief executive, said on Twitter:Goldman SachsLloyd Blankfein, the chief executive, had never used Twitter before but addressed the exit from the accord in his first tweet:MicrosoftBrad Smith, Microsoft’s president, said in a statement that the company was disappointed in the decision.AppleFrom a letter to employees by Tim Cook, the chief executive, obtained by The New York Times:AmazonThe company released a statement in a series of tweets:Murray EnergyThe Ohio-based company, one of the largest coal-producing companies in the country and a prominent supporter of Mr. Trump, praised the decision. The chief executive, Robert E. Murray, said in a statement:UberAndrew Salzberg, who oversees transportation policy and research at Uber, wrote on Medium:IBMThe company said in a statement:ShellPeabody Energy The company, a multinational coal-mining giant based in St. Louis, said in a statement:CargillDavid MacLennan, Cargill’s chief executive, said in a statement:"
Attendance Drops at Disney Parks Worldwide as Prices Rise,"LOS ANGELES — In a rare slowdown in one of the hottest areas of the entertainment business, attendance declined at 13 of 14 Disney theme parks around the world in 2016 compared with 2015, according to an independent report released on Thursday. Higher prices, intended in part to ease crowding at certain parks, were a major contributor, analysts said.Attendance, of course, does not equal profit. The Walt Disney Company’s theme park unit had operating income of $3.3 billion in fiscal 2016, a 9 percent increase from the year before, in part because of a new ticketing strategy that raised prices for peak periods by 20 percent.But a simultaneous attendance decline at 13 Disney parks — all except Shanghai Disneyland, which has not been open a year — is notable because it rarely happens. More typical has been scorching annual growth, so much so that Disneyland in Anaheim, Calif., reaches capacity on certain days.Over the last decade, attendance has declined only once before at Disney’s flagship park, the Magic Kingdom. At no time in the last decade has attendance fallen across Disney’s global portfolio.The report compiled by the Themed Entertainment Association and Aecom, an engineering company. Disney does not disclose attendance data for most of its properties, including the Magic Kingdom and five other parks near Orlando, Fla., that make up Walt Disney World.Disney responded to a request for comment with a statement that emphasized ongoing construction projects at multiple parks: “We are investing behind the wealth of great franchises we have in order to deliver magical experiences that exceed our guests’ expectations.”The biggest declines occurred overseas. At Disneyland Paris, attendance plunged 14 percent, to 9.8 million, as tourism across Europe continued to be affected by terrorism fears. Bad weather was also a factor. Hong Kong Disneyland had a 10 percent drop, to 6.1 million, amid a continued decline in tourism from mainland China. Disney recently unveiled $1.4 billion in upgrades in Hong Kong.But Disney’s North American parks had more modest declines. Attendance at the Magic Kingdom totaled roughly 20.4 million, down 0.5 percent; Disneyland’s estimated total was 17.9 million, down 2 percent. Including Shanghai Disneyland, Disney’s theme park portfolio attracted roughly 139 million visitors in 2016 — dwarfing its competitor Universal, which had attendance of about 47.4 million at five parks worldwide.Even so, Universal had a very good year, the result of popular new Harry Potter attractions. Attendance at Universal Studios Hollywood, for instance, rose nearly 14 percent, to 8.1 million.“It’s really capital expenditures that move the needle,” said John W. Robinett, senior vice president for economics at Aecom. “It’s also important to remember that 2015 was a tremendous year,” he said.Disney’s domestic parks are expected to return to growth in 2017. An “Avatar”-themed expansion opened at Disney’s Animal Kingdom near Orlando last month and has drawn enormous crowds, with visitors waiting as long as four hours to board rides."
High Times Is Sold to Group That Includes Son of Bob Marley,"High Times, the magazine that has chronicled the transformation of marijuana use from an underground vice to a major American business, said on Thursday that it had been acquired by a group of investors that includes Damian Marley, son of the reggae star Bob Marley.The group, led by Adam Levin, the founder of the investment firm Oreva Capital, bought a controlling interest at a price that values the magazine at $70 million, according to The San Francisco Chronicle.In a news release, the new ownership group said it planned to expand the publication’s audience and its events business.“I think most would agree it was not executing business at max potential under the legacy framework established by the founders,” Mr. Levin, who will become chief executive of High Times Holding Co., said in a statement. “We are going to build on the strong base they created to bring High Times from the authority in the counterculture movement to a modern media enterprise.”The magazine, which in January moved its headquarters to Los Angeles, had previously been owned by the New York-based Trans High Corp.Mr. Marley, a reggae artist like his father, noted that he had started reading High Times in high school. “It is now an honor to be a part of the High Times legacy that I’ve been a fan of for so many years,” he said in a statement.The magazine was founded in 1974 by Tom Forcade as a subversive record of the marijuana counterculture. Whereas Playboy centerfolds displayed buxom women, High Times centerfolds displayed beautiful buds. It offered how-to instructions for growing at home, and even advice on best practices for smuggling marijuana.These days, as marijuana acceptance has grown and states continue to legalize its use, High Times balances lifestyle writing with more serious coverage of “ganjapreneurs” and the “cannabusiness.”Cannabusiness is booming. In November, voters in California, Maine, Massachusetts and Nevada decided through ballot measures to legalize recreational use, joining Alaska, Colorado, Oregon and Washington. More than 20 percent of Americans now live in states where marijuana use is legal.A CBS News poll in April showed that 61 percent of Americans supported legalization. President Trump has said that he is “in favor of medical marijuana 100 percent” and that the issue should be left to the states.In a statement, the company said the new ownership group would “review a backlog of deal opportunities that have accumulated as marijuana has become more mainstream.”The company said it had 236,000 monthly print subscribers and a digital audience of more than 20 million unique visitors a month. But much of its revenue comes from events like the Cannabis Cup, a trade show that began in 1988 and has expanded to multiple locations."
"Blue Apron, a Meal Delivery Service, Files for Public Offering","Blue Apron was a pioneer in delivering food kits to customers for assembling meals at home. Now it is beating a path to an initial public offering.The five-year-old company filed on Thursday to go public, moving to become one of the most prominent consumer start-ups in recent years to pursue a stock listing. It plans to trade under the symbol “APRN.”Blue Apron is seeking to go public as it faces intensifying competition from a host of rivals, including HelloFresh, Sun Basket and the vegetarian-focused Purple Carrot. And its filing shed light on some of the high costs of that race: Even as the company’s revenue grew, its losses and marketing costs soared.A successful public offering would make Blue Apron one of the most recognizable names to enter the public markets since Snap, the parent of Snapchat, began trading on the New York Stock Exchange in March.Founded in 2012, Blue Apron was one of the earliest purveyors of so-called meal kits, which provide subscribers with mostly prepared ingredients that they cook at home, following an accompanying recipe. The premise: home cooking, without the trips to the grocery store or the hassle of deciding what to make.The size of Blue Apron’s offering has yet to be determined. The prospectus listed a $100 million fund-raising target, a preliminary number used to determine filing fees.The filing highlighted the enormous growth that Blue Apron has enjoyed since starting. Its sales have risen 10-fold from 2014 to 2016, reaching $795.4 million last year.But its net loss grew 16 percent last year from 2015, to $54.8 million, according to the filing. Using the company’s preferred measure of adjusted earnings before interest, taxes, depreciation and amortization, or Ebitda, which excludes expenses like stock-based pay and taxes, it lost $43.6 million in 2016, up 32.5 percent from the year before, the filing shows.Some of the increased loss stemmed from the rising cost of ingredients and from spending on marketing, which jumped 10-fold from 2014 to 2016, to $144.1 million.Blue Apron has shown signs of stalled growth in other ways. Its average order value for the first three months of 2017 shrank slightly from the same period a year ago, to $57.23. Both the number of orders per customer and the average revenue per customer also fell slightly in the first quarter of this year compared with the first quarter of 2016.The company has also made moves to grow, including acquiring BN Ranch, one of its beef suppliers.Going public does not mean that Blue Apron’s management is intent on giving up control of the company. The start-up will have three classes of stock: Class A shares that will be sold to the public and will carry one vote per share; Class B shares, which the founders and early investors own, which carry 10 votes per share; and Class C shares, which come with no voting rights and will be used for purposes like acquisitions.As of now, the company’s biggest shareholders are Matthew B. Salzberg and Ilia M. Papas, the founders, who together own just under 40 percent of the class B shares, and the venture capital firms Bessemer Venture Partners and First Round Capital.Goldman Sachs, Morgan Stanley, Citigroup and Barclays are leading on the offering."
