headline,story-content
Elizabeth Warren Turns Up the Anti-Donald Trump Volume,"Senator Elizabeth Warren delivered a scalding rebuke of Donald J. Trump on Tuesday night, describing him as a “a small, insecure, money grubber” as she escalated her feud with the presumptive Republican nominee.In a rousing speech at the Center for Popular Democracy’s annual gala in Washington, Ms. Warren embraced her role as one of Mr. Trump’s fiercest critics. She assailed him unsparingly as a heartless tax dodger cozying up with Wall Street who preyed on the misfortunes of Americans stricken by the financial crisis.“Donald Trump was drooling over the idea of a housing meltdown because it meant he could buy up a bunch more property on the cheap,” said Ms. Warren, a Democrat from Massachusetts. “What kind of a man does that?”She went on to argue that Mr. Trump was rooting for people to lose their jobs and be kicked out of their houses.“I’ll tell you exactly what kind of a man does that,” Ms. Warren added. “It is a man who cares about no one but himself. A small, insecure money-grubber who doesn’t care who gets hurt so long as he makes a profit off it.”Ms. Warren’s attacks on Mr. Trump echo those leveled by Hillary Clinton, the likely Democratic presidential nominee, who has seized on comments that he made a decade ago when he suggested that the collapse of the housing market was a good investing opportunity. Ms. Warren has been a frequent critic of Mr. Trump on social media and has been increasingly taking him on in public forums.On Tuesday night, Ms. Warren also suggested that Mr. Trump pays no taxes while reaping the benefits of American public infrastructure. And she hit him for saying that he would undo the Dodd-Frank financial regulation legislation, wondering if Mr. Trump could even name three things about the law.“Donald Trump is worried about helping poor little Wall Street?” Ms. Warren said. “Let me find the world’s smallest violin to play a sad, sad song.”Calling Mr. Trump an “urgent threat” to the country, Ms. Warren painted him as someone who inherited a fortune from his father, then grew it by swindling people and skipping out on his debts.Mr. Trump has responded to charges that he sought to profit from the recession by claiming that he was doing what he was supposed to do as a successful businessman. On Wednesday, he called Ms. Warren “goofy” in a post on Twitter and said she has done less in the Senate than almost anyone else.“All talk, no action!” Mr. Trump said."
Donald Trump Dismisses National Political Director After 6 Weeks on the Job,"Donald J. Trump announced on Wednesday that Rick Wiley, whom he hired as his national political director six weeks ago, is no longer a part of the campaign.Mr. Wiley, who managed the 2016 presidential campaign of Gov. Scott Walker of Wisconsin and has deep ties to the Republican Party, was brought in by Paul Manafort, a top Trump adviser, to help streamline the campaign’s operations in Washington.But Mr. Wiley quickly clashed with state party officials — several of whom complained directly to Mr. Trump, according to an aide.Mr. Wiley did not immediately return messages on Wednesday evening seeking comment.Mr. Wiley also clashed with Karen Giorno, who ran Mr. Trump’s operations in Florida, where he defeated Senator Marco Rubio in his home-state primary by nearly 20 points.Earlier on Wednesday, before being let go entirely — news first reported by Politico — Mr. Wiley had been stripped of his role overseeing Florida, as Bloomberg News reported.“Rick Wiley was hired on a short-term basis as a consultant until the campaign was running full steam,” the Trump campaign said in a statement. “It is now doing better than ever, we are leading in the polls, and we have many exciting events ready to go, far ahead of schedule, while Hillary continues her long, boring quest against Bernie. We would like to thank Rick for helping us during this transition period.”Mr. Wiley was one of Mr. Manafort’s first hires, and his departure adds another wrinkle to the feud between Mr. Manafort and Corey Lewandowski, Mr. Trump’s campaign manager.Although the Trump campaign last week gave Mr. Manafort an elevated title, of campaign chairman and chief strategist, Mr. Wiley’s dismissal offers another sign that Mr. Lewandowski still holds sway within the Trump operation."
"Clinton-vs.-Trump Race in New Jersey Could Be Close, Poll Shows","New Jersey has backed Democrats in every presidential election since 1992, but a new poll released on Tuesday shows that the state would be in play in a matchup between Hillary Clinton and Donald J. Trump — as long as Gov. Chris Christie is not on his ticket.A poll from Monmouth University found that 38 percent of registered voters support Mrs. Clinton and 34 percent back Mr. Trump. The survey, which had a margin of error of plus or minus four percentage points, found that the remaining voters would either back a third-party candidate or that they remain undecided.“Blue Jersey doesn’t appear quite so blue at this stage of the campaign, but we should keep in mind that neither major party candidate has fully locked in the support of their partisan bases,” said Patrick Murray, director of the Monmouth University Polling Institute.When that happens, Mr. Murray suggested, it could benefit Mrs. Clinton because there are more Democrats than Republicans in New Jersey.Another thing that would help Mrs. Clinton is if Mr. Trump tapped Mr. Christie as his running mate. The New Jersey governor became one of Mr. Trump’s most vocal supporters after dropping his own presidential bid, but his campaign and the time he spent away from the state took a toll on his popularity there.More than 40 percent of New Jersey voters said that they would be less likely to support Mr. Trump if Mr. Christie was on the ticket, while 8 percent said that they would be more likely to back the presumptive Republican nominee with their governor at his side. Mr. Christie would also be unhelpful when it comes to wooing undecided voters, as 51 percent of those who have yet to make up their minds said that he would be a turnoff.“Trump claims he can turn New Jersey competitive in November,” Mr. Murray said. “These results suggest he probably needs to look elsewhere for a running mate if he wants to make that a reality.”As for adding a local lawmaker to Mrs. Clinton’s ticket, the poll found that Senator Cory Booker would neither harm nor help her chances. Two-thirds of New Jersey voters said that Mr. Booker would have no influence their thinking and only 18 percent said he would be a bonus.New Jersey voters did suggest that they are open to thinking outside of the box in this election, with 11 percent of them saying that they would like to vote for an independent or third-party candidate rather than decide between Mr. Trump and Mrs. Clinton.Gary Johnson, the Libertarian Party’s nominee, and Jill Stein, a Green Party candidate, won 5 percent and 4 percent of the vote when added to the mix. Their presence on the ballot appeared to offer a small benefit to Mrs. Clinton by siphoning some support away from Mr. Trump."
"Clinton and Trump in Tight Race, Poll Shows, With Votes Split on Gender Lines","Hillary Clinton holds a small lead over Donald J. Trump nationally, according to a poll released on Wednesday that shows United States voters sharply divided along gender and party lines.The poll, by Quinnipiac University, found that 45 percent of voters supported Mrs. Clinton, while 41 percent backed Mr. Trump. When adding candidates from other parties, such as Gary Johnson, the Libertarian nominee, and Jill Stein of the Green Party, the race becomes a virtual tie, with Mrs. Clinton leading Mr. Trump by just two percentage points.The survey had a margin of error of plus or minus three percentage points.The results suggest that Republicans and Democrats are ready to line up behind their likely standard-bearers, with 86 percent of Republicans supporting Mr. Trump and 90 percent of Democrats backing Mrs. Clinton, who is still working to defeat her opponent in the primaries, Senator Bernie Sanders of Vermont.Like in many polls, Mr. Sanders performed better than Mrs. Clinton against Mr. Trump in a hypothetical matchup, leading him by nine percentage points.Gender appears to be a big factor in the likely battle between Mrs. Clinton and Mr. Trump, with 51 percent of men backing the Manhattan businessman and 54 percent of women supporting the former secretary of state.“This is a very tight race, that will divide Democrats and Republicans, the young and the old, white, black and Hispanic voters — and husbands and wives — in the months ahead,” Tim Malloy, assistant director of the Quinnipiac University Poll, said in a statement.Mrs. Clinton is viewed by voters as being smarter and having higher “moral standards,” while Mr. Trump is seen as being a better leader and more inspiring. Voters also said they expected Mr. Trump to be better at creating jobs as well as tougher on the Islamic State, while Mrs. Clinton fared better on immigration and dealing with international crises."
Hispanic Official to Leave R.N.C. in Sign of Disaffection With Donald Trump,"The head of Hispanic media relations at the Republican National Committee is resigning this month in what appears to be another indication of the lingering discomfort some party officials have about working to elect Donald J. Trump president.Ruth Guerra, who is of Mexican descent and was in charge of carrying the party’s message to Hispanic voters, is joining the American Action Network, a Republican-aligned “super PAC,” she confirmed in a brief interview on Wednesday.The American Action Network is expected to spend millions on congressional races, and the new job is in essence a promotion, one co-worker said.But Ms. Guerra told colleagues this year that she was uncomfortable working for Mr. Trump, according two R.N.C. aides who requested anonymity to speak candidly about the difficulties surrounding the party’s presumptive standard-bearer.It is relatively rare for party staff members to leave the national committee in the midst of a presidential campaign unless they are going to work directly for the nominee.Ms. Guerra declined to discuss her feelings about Mr. Trump, who is deeply unpopular with Hispanic voters, but said, “I’ve had a great nearly two years at the R.N.C., and I’m excited for the new opportunities that I will have at A.A.N.”Ms. Guerra, 28, joins a handful of other R.N.C. aides who have left the party or started looking for new work since Mr. Trump became the party’s presumptive nominee.Discontent with Mr. Trump runs deep among Republican strategists and staff members, particularly with younger ones. After suggesting that Mexican migrants were drug dealers and rapists upon entering the race last year, Mr. Trump has made illegal immigration a centerpiece of his campaign and at times has veered more directly toward racial demagogy.Last week in San Diego, a few miles from the Mexican border, he invoked the ethnic heritage of the federal judge presiding over a class-action lawsuit filed by former Trump University students against the developer.“The judge, who happens to be, we believe, Mexican,” said Mr. Trump, about Judge Gonzalo P. Curiel, who was born in Indiana to parents of Mexican descent.In her R.N.C. job, Ms. Guerra, a Texan who speaks fluent Spanish, was a frequent guest on Spanish-language television networks. In her new job, she “will be expanding her role as a conservative voice into congressional districts across America, on both policy and political issues,” said Mike Shields, president of the American Action Network.In a profile of under-30 young Republicans last year, Ms. Guerra said her party had an opening with a community that has increasingly supported Democrats in recent presidential elections.“As a Hispanic, I know that we have an opportunity with Hispanics/Latinos — they want to hear from us and want to know that we care,” Ms. Guerra said at the time."
Clinton Campaign Condemns Protesters’ Violence at Trump Rally in California,"Hillary Clinton’s campaign chairman, John Podesta, condemned political violence of any kind after clashes between supporters of Donald J. Trump and protesters during the presumptive Republican presidential nominee’s rally in San Jose, Calif., on Thursday night.Mr. Podesta posted a video on Twitter that appeared to show a Trump supporter being beaten by protesters outside of the event. The footage also showed supporters of Mr. Trump being chased by protesters as a “Make America Great Again” hat was set on fire.“Violence against supporters of any candidate has no place in this election,” Mr. Podesta wrote.The ugly scene is the latest example of the anger that is bubbling over in a volatile year for American politics. Mr. Trump’s trip to California in late April was marred when several of his supporters were bloodied by protesters and, in March, one of his rallies in Chicago was canceled after protesters flooded the streets.While Mr. Trump has said he does not condone violence of any kind, his campaign made little effort to condemn it.On Friday morning, Mr. Trump said his rally was full of love and enthusiasm, while lamenting that a small group of “thugs” outside burned the American flag.Mr. Trump also showed little concern about the violence as he continued his swing through California, which votes on Tuesday, with a rally in Redding on Friday afternoon. Looking past the end of the primary election season, he announced on Twitter that he will be making a foreign trip later this month.“On June 22 I will be going to Scotland to celebrate the opening of the newly renovated Trump Turnberry resort, the world’s best,” Mr. Trump said."
Donald Trump Makes His First Congressional Endorsement,"Donald J. Trump made his first congressional endorsement this weekend, backing Representative Renee Ellmers in a North Carolina primary race in which she has been opposed by heavily funded adversaries.Mr. Trump recorded a phone message for Ms. Ellmers’s campaign, calling her a “fighter.”“I need her help in Washington so we can work together to defeat ISIS, secure our border, and bring back jobs and frankly, so many other things,” Mr. Trump said, referring to the Islamic State. “And Renee knows how to do it. She gets it. And together, we will make America great again.”Ms. Ellmers is running in a redrawn congressional district against another incumbent, Representative George Holding, and a third candidate, Greg Brannon.Ms. Ellmers has been a target of conservatives for many months, and she has been opposed by Americans for Prosperity, the group affiliated with David H. and Charles G. Koch, and by the anti-tax Club for Growth.Both groups have declined to back Mr. Trump, the Republican Party’s presumptive presidential nominee."
Donald Trump Questioned About Previous Positions on Libya and Iraq,"Donald J. Trump found himself on the defensive on Sunday over his claims that he had opposed the intervention in Libya and the war in Iraq.Mr. Trump has described himself in the presidential campaign as an ardent detractor of both interventions, but his critics cite evidence to the contrary.In an interview on CBS’s “Face the Nation,” the host, John Dickerson, pointed out that Mr. Trump had supported military intervention in Libya and the ouster of its leader, Col. Muammar el-Qaddafi, despite the fact he now criticizes Hillary Clinton on both points.“When you say supported it, I supported Libya?” Mr. Trump said.“Yes, you supported the intervention in Libya,” Mr. Dickerson replied.“I did? Where do you see that?” Mr. Trump asked.Mr. Dickerson played a video clip from 2011 of Mr. Trump saying: “Now, we should go in. We should stop this guy, which would be very easy and very quick. We could do it surgically, stop him from doing it and save these lives.”Mr. Trump insisted that the comments had not constituted support. “I was for doing something,” he said, “but I wasn’t for what you have right now.”The candidate also told Jake Tapper, the host of CNN’s “State of the Union,” that there was ample evidence that he had been against the Iraq war. But in an interview with the radio host Howard Stern before the invasion of 2003, the real estate developer expressed support for it.Asked in the 2002 interview whether he supported invading Iraq, Mr. Trump replied: “Yeah, I guess so. I wish the first time it was done correctly.”Mr. Trump also acknowledged that he had made “a lot of money with Qaddafi,” telling “Face the Nation” viewers that when the Libyan dictator was preparing to attend a United Nations summit meeting in 2009, he was looking for a property large enough to accommodate the Bedouin-style tent he planned to use. The Libyan leader rented a Westchester property that belonged to Mr. Trump.“He had to make a deal with me because he needed a place to stay, and he paid me a fortune, never got to stay there,” Mr. Trump said of Colonel Qaddafi. “And it became sort of a big joke. But the fact is that Libya was a disaster, from the standpoint of the way it was handled.”"
Obama’s Endorsement Leaves Hillary Clinton With a Balance to Strike,"For months, a central question of the 2016 presidential race has been how much distance Hillary Clinton needs to keep between herself and President Obama.In the last 50 years, voters have shown little interest in backing the candidate of the same party as a sitting president. (The exception is George Bush, who succeeded Ronald Reagan.)But the country has grown drastically more partisan in recent years. Mrs. Clinton is relying on support from the Obama coalition to be elected. And Mr. Obama is relying on her to continue his legacy.And so the two will make their first joint campaign appearance next week, in Wisconsin, one of a series of events they are expected to hold together.Over the course of a toxic presidential race, both Mrs. Clinton and Donald J. Trump have accrued historically high negative ratings in polls. Mr. Obama’s numbers, perhaps as a result of the vitriolic presidential race, have improved. And he hopes that his endorsement of Mrs. Clinton, announced after he held a meeting on Thursday with her rival, Bernie Sanders, will bring the Vermont senator’s supporters to her side.Still, Mrs. Clinton needs to maintain a separate political identity from Mr. Obama’s. And so, while the accelerated endorsement from Mr. Obama was welcomed by Democrats who have been urging the party to unite, the general-election campaign needs to remain Mrs. Clinton’s show."
Man Arrested at Rally Tells Authorities He Wanted to Kill Donald Trump,"A man arrested at a Donald J. Trump rally in Las Vegas on Saturday told the authorities that he had intended to kill Mr. Trump, according to a complaint filed Monday in United States District Court in Nevada.The man, Michael Steven Sandford, was arrested after trying to grab an officer’s gun from her holster, the complaint said, and had lingered near the officer, telling her he wanted Mr. Trump’s autograph.In an interview after his arrest, the complaint says, Mr. Sandford told the authorities that he “made a conscious effort to come to Las Vegas to kill Trump,” and that he had been “planning to attempt to kill Trump for about a year.” He also said that he expected to be killed by law enforcement personnel during his attempt on Mr. Trump’s life.Mr. Sandford said that the day before the rally, which was held at the Treasure Island casino, that he visited a nearby gun range to “learn how to shoot a gun” and that it was his first time using a weapon. He said he chose the specific officer because he noticed that her holster was in an “unlocked position.”Mr. Sandford had a United Kingdom driver’s license when he was arrested and had been living in New Jersey for about a year and a half before driving to California, and eventually Las Vegas He said he had bought a ticket to Mr. Trump’s rally in Phoenix later that day as a backup plan should he not find an opportunity in Las Vegas.All rallies for Mr. Trump, the presumptive Republican presidential nominee, are protected by the Secret Service and feature full metal scanners at the entrance, along with numerous members of his private security detail throughout the events.The Trump campaign directed all requests for comment to the Secret Service.In an email, a spokeswoman for the Secret Service confirmed that Mr. Sandford was arrested after trying to disarm the officer. She said that the investigation was continuing and that he could face additional charges."
