headline,story-content
Evergreen or Not?,"Q. Why are there brown needles as well as green ones on the average evergreen?A. Somewhat like the hairs on a human head, the needles on a conifer go through cycles of growth and aging before finally dropping off the tree. As the needles age, a certain percentage normally turn brown or yellow at predictable times, usually the older ones farthest from the ends of the growing branches, while the tips stay green.Needle longevity varies markedly from species to species and has also been found to vary somewhat with the environment. For example, most pine needles have a cycle of three to five years, while some juniper needles can last for a decade or more.Research published in 2014 in The Proceedings of the National Academy of Sciences found that for five species of pines and spruces, individual trees in colder, more northern environments had longer needle life spans.Beyond its normal browning and loss of aging needles, a conifer can also suffer from excess browning, usually most evident in the spring.There are several possible reasons, arborists say, including low soil moisture and dry winds over the winter; rapid temperature fluctuations; damage from road salt; nibbling animals and insects; and air pollution.Watering in summer and fall and mulching over the winter are recommended to protect decorative trees. question@nytimes.com"
Can Carbon Capture Technology Prosper Under Trump?,"THOMPSONS, Tex. — Can one of the most promising — and troubled — technologies for fighting global warming survive during the administration of Donald J. Trump?The technology, carbon capture, involves pulling carbon dioxide out of smokestacks and industrial processes before the climate-altering gas can make its way into the atmosphere. Mr. Trump’s denial of the overwhelming scientific evidence supporting climate change, a view shared by many of his cabinet nominees, might appear to doom any such environmental initiatives.But the new Petra Nova plant about to start running here, about 30 miles southwest of Houston, is a bright spot for the technology’s supporters. It is being completed essentially on time and within its budget, unlike many previous such projects. When it fires up, the plant, which is attached to one of the power company NRG’s hulking coal-burning units, will draw 90 percent of the CO2 from the emissions produced by 240 megawatts of generated power. That is a fraction of the roughly 3,700 megawatts produced at this gargantuan plant, the largest in the Lone Star State. Still, it is enough to capture 1.6 million tons of carbon dioxide each year — equivalent to the greenhouse gas produced by driving 3.5 billion miles, or the CO2 from generating electricity for 214,338 homes.From a tower hundreds of feet above the Petra Nova operation, the carbon capture system looks like a fever dream of an Erector set fanatic, with mazes of pipes and gleaming tanks set off from the main plant’s skyscraping smokestacks and busy coal conveyors. Petra Nova uses the most common technology for carbon capture. The exhaust stream, pushed down a snaking conduit to the Petra Nova equipment, is exposed to a solution of chemicals known as amines, which bond with the carbon dioxide. That solution is pumped to a regenerator, or stripper, which heats the amine and releases the CO2.The gas is drawn off and compressed for further use, and the amine solution is then cycled back through the system to absorb more CO2.Petra Nova, a billion-dollar joint venture of NRG and JX Nippon Oil and Gas Exploration, will not just grab the CO2, it will use it, pushing compressed CO2 through a new pipeline 81 miles to an oil field. The gas will be injected into wells, a technique known as enhanced oil recovery, that should increase production to 15,000 barrels a day from about 300 barrels a day. And since NRG owns a quarter of the oil recovery project, what comes out of the ground will help pay for the carbon capture operation.The plant, which has received $190 million from the federal government, can be economically viable if the price of oil is about $50 a barrel, said David Knox, an NRG spokesman. The company expects to declare the plant operational in January, Mr. Knox said. Aware of problems with carbon capture projects around the country and of the risks of hubris, he said: “We’re not going to declare victory before it’s time.”If the price of oil stabilizes or rises, and if tax breaks for developing the technology continue and markets for carbon storage develop, he said, utilities might ask, “why would I not want to put a carbon capture system on my plant?”But developing large-scale carbon capture has been neither straightforward nor easy. So far, problems have bedeviled major projects, often costing far more than projected and taking longer to complete. The federal government has canceled projects like Future Gen, which was granted more than $1 billion by the Obama administration.Carbon capture systems are not just expensive to build; they tend to be power-hungry, and make the plant less efficient over all — a problem known as “parasitic load.” The Petra Nova carbon capture process gets its energy from a separate power plant constructed for the purpose, which NRG says makes the system more efficient than it would otherwise be, and frees up all of the capacity of the main power plant to sell all of the electricity it produces. The company estimates that the next plant it builds could cost 20 percent less, thanks to lessons learned this time around.If Petra Nova succeeds, it means a boost for carbon capture. Despite carbon capture’s problems, its supporters, including the Intergovernmental Panel on Climate Change and the International Energy Agency, call the technology, known as carbon capture sequestration, crucial for meeting emissions standards that can prevent the worst effects of climate change.“If you don’t have C.C.S., the chance of success goes down, and the cost of success goes up,” said Julio Friedmann, an expert at the Lawrence Livermore Laboratories in California and a former Energy Department official. “If you do have C.C.S., the chance of success goes up and the cost of success goes down.”Carbon capture is proving itself, said David Mohler, the deputy assistant secretary for clean coal and carbon management at the federal Energy Department.Developing technologies often involves delay and cost overruns initially, he said. “You cannot engineer all the bugs out from inside a cubicle — you really have to do this stuff in the real world,” he said.Driving down costs, he noted, is what engineers and businesses do through research, development and production. He cited the plummeting cost of initially expensive technologies like solar power. “We do figure things out as we go,” he said.What the Trump administration will do with carbon capture is, at this point, anyone’s guess. “The technology only makes sense in a world where you are seeking to avoid putting CO2 into the atmosphere,” said Mark Brownstein, a vice president for the climate and energy program at the Environmental Defense Fund.But some supporters of the technology see reasons for hope.“I actually think it’s a moment of optimism,” said Senator Heidi Heitkamp of North Dakota, who met with Mr. Trump last month as a potential agriculture secretary. Ms. Heitkamp co-sponsored legislation  with another Democrat, Senator Sheldon Whitehouse of Rhode Island, to expand and extend tax breaks for carbon capture projects. “What I saw with the president-elect was a laserlike focus on jobs,” she said. “I think he was intrigued” about the economic opportunity that carbon capture could provide to keep coal power generation in the national mix, she added.One of the pillars of Mr. Trump’s campaign was his intention to revive the fortunes of the coal industry through support of so-called clean coal. And while the exact meaning of the much-used phrase is open to interpretation, it generally includes not just technologies that remove soot and smog-causing pollutants, but also carbon dioxide.Ms. Heitkamp said that businesses, too, were likely to continue development of carbon capture technology, since they planned their plant investments on a curve of decades and are loath to change course because of a single election. “The decision they are making is not, what does the political outlook look like today? What’s it look like over the life of this plant?”Although she concedes that a full-scale revival of coal’s fortunes is unlikely, carbon capture could be a way to extend the life of current facilities while keeping the nation’s energy mix diverse.Jeff Erikson, general manager at the Global C.C.S. Institute, which promotes the technology, said he did not expect to see a great number of new coal plants on the way. “I wouldn’t say carbon capture is going to rescue the coal industry,” he said, but pointed out that there is great potential for applying carbon capture to diverse natural gas plants and to industrial applications. Captured carbon can be used not just for oil production but a widening range of industrial processes, or can even be pumped into the ground.One of the most innovative approaches to carbon capture is being tried 50 miles east of the Petra Nova plant, in La Porte, Tex., where a consortium of companies is trying an entirely new approach to low-carbon power generation.In a $140 million, 50 megawatt demonstration project, the company, Net Power, will use superheated carbon dioxide in much the same way that conventional power plants use steam to drive turbines. This system, invented by a British engineer, Rodney Allam, eliminates the inefficiency inherent in heating water into steam and cooling it again. The power plant produces a stream of very pure, pressurized carbon dioxide that is ready for pipelines without much of the additional processing that conventional carbon capture systems require.The creators say that their technology will produce electric power at a price comparable to combined-cycle power plants, the efficient gas-burning plants that burn gas to power one turbine and then use the excess heat from that process to generate additional power with a steam turbine. That means, in effect, that “the cost of being green is zero,” said Bill Brown, the chief executive of Net Power.“The potential to capture CO2 at no additional cost would be a game changer,” said Fatima Maria Ahmad, a fellow at the Center for Climate and Energy Solutions, a think tank.Net Power combines the resources of Exelon Generation, a power company, the engineering and construction firm CB&I, and 8 Rivers Capital, which developed the technology used in the project. The centerpiece of the project is a special turbine built by Toshiba and designed for the punishingly high pressure used in the process. And while any system that so closely resembles a rocket engine has the potential for what engineers delicately refer to as a RUD — “rapid unplanned disassembly” — those working directly on the project say they have designed safety features that give them confidence.Even if the United States government shows little interest in reducing the nation’s carbon footprint under Mr. Trump and a Republican Congress, consortium officials say they expect to find ready customers from companies in the United States and around the globe, where the threat of climate change is fully acknowledged. “We see this very much playing into all parts of the world,” said Daniel McCarthy, executive vice president for CB&I’s technology operating group.Environmentalists remain divided on the issue of carbon capture, said John Coequyt, global climate policy director for Sierra Club. “This is the issue where the biggest range of positions exists within the environmental community,” he said. Groups like the Clean Air Task Force favor it strongly. Other factions call clean coal a fig leaf to keep coal, with all of its environmental baggage, in the energy mix. And many suggest the billions of dollars spent on trying to capture carbon would be better directed to the technologies that don’t pollute the atmosphere in the first place.Dr. Friedmann, the former energy official, predicted that the technology would prove its usefulness. “It’s convenient to just say ‘Keep it in the ground,’ ” he said, referring to an antifossil-fuel slogan. “What I prefer to say is ‘Keep it from the air.’”"
An Inspiring Story of Weight Loss and Its Aftermath,"The adornments in the office of Eric L. Adams, the Brooklyn borough president, are hardly typical: a full-size refrigerator stocked with fresh fruits and vegetables; a work station where he prepares and blends these plant-based ingredients for his meals and snacks; and a convection oven and hot plate where he cooks them.In an adjacent anteroom, there’s a stationary bike, 15-pound weights, a multipurpose fitness tower and a TRX suspension trainer hanging on the door. His laptop is mounted on a music stand so he can use it while working out on a mini-stepper.Eight months ago, Mr. Adams learned during a health checkup for abdominal pain that he had Type 2 diabetes. He said his average blood sugar level was so high that the doctor was surprised he had not already lapsed into a coma. His hemoglobin A1C level — a lab test that shows the average level of blood glucose over the previous three months — was 17 percent, about three times normal. He wasted no time in tackling his disease with fervor. Spurning the American tendency to treat every ailment with medication, he instead explored the body’s ability to heal itself.Mr. Adams, a 56-year-old former police captain, now needs a new publicity photo. He no longer resembles the roly-poly image on official posters. By adopting a vegan diet, preparing his own meals and working exercise into his everyday routines, he’s shed 30 pounds and completely reversed his diabetes, a pancreatic disorder that can lead to heart attacks, stroke, nerve damage, kidney disease, visual loss and cognitive impairment. Within three months, his A1C level was down to a normal 5.7.He now strives to inform his millions of constituents about how to counter this health- and life-robbing disease, which has reached epidemic proportions in this country, even among children. Starting on the home front, he stripped the Brooklyn Borough Hall drink machine of sugary beverages and the snack machine of everything cooked in oil or unnaturally sweetened. Those searching for a pick-me-up can indulge in plain or sparkling water, diet soda, nuts, dried fruit, protein bars and whole-grain baked chips.“I loved salt and sugar and often used candy to revive me when I felt lethargic,” Mr. Adams confessed. “But I discovered the human palate is amazingly adaptable, and after two weeks without salt or sugar, I no longer craved them.” With his new lifestyle, he said he has so much energy he no longer needs an edible midday pick-me-up.He also makes his own “ice cream” — really a fruit sorbet made with a gadget called Yonanas, a frozen dessert maker that can produce an all-fruit, dairy-free facsimile of frozen yogurt with no added sweetener. I have the same gadget — I love it, too, and often serve the fruit desserts to the delight of company.Although Mr. Adams now eats nothing “that has a face, mother or father,” he said he knows most people at risk of Type 2 diabetes will not abandon all animal foods, sugary sweeteners and refined starches or become exercise fanatics. “But we’ve got to focus on how to wean people off their bad eating habits — the same way we wean people off addictive drugs — and how to work physical activity into their everyday lives.”A new study on the harms of sedentary living published in the journal Diabetologia found that breaking up sitting with short bouts of standing and light-intensity walking was even more effective than an equivalent amount of a concentrated traditional exercise (in this case, cycling) in controlling the blood sugar of patients with Type 2 diabetes.Rather than proselytize, Mr. Adams prefers to teach by example, introducing people to healthy foods and providing helpful information. “I don’t want to become an annoying vegan,” he said. “My hope is that by having people focus on adding healthy things to their plates, rather than unhealthy things, they’ll eventually only have room for the healthy ones.”Mr. Adams hopes to encourage more people to make “reasonable alterations” in how they eat and move through a series of initiatives, including a newsletter, a cookbook of healthful recipes, community and business events that incorporate healthy eating, speaking engagements and fliers distributed to the public at train stations. He’s also planning a competition for schoolchildren to identify the most effective way to go from soil to plate with wholesome foods.“At every event, I talk about how health is the cornerstone to our prosperity,” he said. The changes he’s made in his eating and exercise habits have done a lot more than reverse his diabetes. “All my numbers improved in just three months,” he said, including his blood pressure and cholesterol levels, which are now in a healthy range, thereby lowering his risk for heart disease and stroke.He bemoans the dependence of most Americans on processed foods and meals prepared by many stores and restaurants that are laden with unhealthful ingredients. Relying on such foods not only can be bad for your health; it also deprives people of a “spiritual relationship” with the foods they eat, he said. “I never cooked before; now I love cooking, and I’ve become very creative in my cooking ability.” He has learned to add spices like cinnamon, oregano, turmeric and cloves into many of the foods he makes. “Food should be tasteful and enjoyable,” and it can be without using sugar, salt and fat, he maintains.Most patients with Type 2 diabetes, the most common form of the disease, are prescribed medication to reduce the amount of blood sugar released by the liver and enhance the body’s sensitivity to insulin. But even though there is no known cure for Type 2 diabetes, lifestyle factors can have a big impact. Numerous studies have demonstrated that losing weight (for those who are overweight), eating a diet low in refined carbohydrates and sugar, and being more active can reduce a person’s dependence on medications and sometimes eliminate any need for drugs.A loss of just 5 percent to 10 percent of body weight can often control the disease in people who are overweight. Among people who are obese, going on a very low calorie diet or inducing extreme weight loss through bariatric surgery often can reverse the disorder. In one small study in England, Type 2 diabetes went into remission in nearly half the people who consumed a very low-calorie liquid diet for eight weeks and stayed in remission for six months after they resumed normal eating.However, for most people, the changes they make in their eating and exercise habits to control or reverse diabetes must be maintained indefinitely to keep the disease at bay."
Petroleum Jelly May Reduce Risk of Eczema,"Applying inexpensive petroleum jelly to a new baby daily for the first six months of life may reduce the risk that the infant will develop eczema, which can be a lifelong torment, according to a new analysis.Two studies done in newborns with relatives suffering from atopic dermatitis, the most common form of eczema, showed that rubbing moisturizer into their skin daily lowered their risk of developing the itchy, dry, scaly patches on their heads, arms and legs that characterize the disease.Scientists at Northwestern University Feinberg School of Medicine looked at seven common moisturizers and decided that petroleum jelly was the cheapest effective one; sunflower oil came in second.Eczema affects over 10 percent of American children, and is more common in those with dark brown skin. Its prevalence in Africa is unknown, but anecdotally it is thought to be increasing there too.The cause is also unknown, but it is often associated with allergies and with asthma, which is also more common among African-American children, and can be fatal. Itchiness often keeps children from sleeping, and scratching can lead to skin infections. Some poor families spend large sums on expensive creams to fight the disease. The study’s authors argued that health insurance should cover moisturizers.The theory is that moisturizers “seal” a baby’s skin against some invader that triggers inflammation.Bigger studies that last beyond infancy must be done to prove the concept, said Dr. Steve Xu, a dermatologist at the Feinberg School and lead author of the analysis published by JAMA Pediatrics last month. But, he said, the risk of moisturizing is minimal.“We’re not giving them an oral drug or injecting them with a medication,” he said. “We’re putting Vaseline on these babies to potentially prevent a very devastating disease.”"
Is Your Workout Not Working? Maybe You’re a Non-Responder,"Is your workout getting you nowhere?Research and lived experience indicate that many people who begin a new exercise program see little if any improvement in their health and fitness even after weeks of studiously sticking with their new routine.Among fitness scientists, these people are known as “nonresponders.” Their bodies simply don’t respond to the exercise they are doing. And once discouraged, they often return to being nonexercisers.But an inspiring and timely new study suggests that nonresponders to one form of exercise can probably switch to another exercise regimen to which their body will respond. And a simple test you can do at home will help you determine how well your workout is working for you.One of the first major studies to report the phenomenon of nonresponders appeared in 2001, when researchers parsed data from dozens of previously published studies of running, cycling and other endurance exercise.The studies showed that, on aggregate, endurance training increased people’s endurance. But when the researchers examined individual outcomes, the variations were staggering. Some people had improved their endurance by as much as 100 percent, while others had actually become less fit, even though they were following the same workout routine.Age, sex and ethnicity had not mattered, the researchers noted. Young people and old had been outliers, as had women and men, black volunteers and white. Interestingly, nonresponse to endurance training ran in families, the researchers discovered, suggesting that genetics probably plays a significant role in how people’s bodies react to exercise.Since then, other researchers have found that people can have extremely erratic reactions to weight training regimens, with some packing on power and mass and others losing both.And a study published last year concentrating on brief bouts of intense interval training concluded that some people barely gained endurance with this type of workout, while others flourished, greatly augmenting their fitness.These studies, however, were not generally designed to tell us whether someone who failed to benefit from one form of exercise might do well with another.So for the new experiment, which was published in December in the journal PLOS One, researchers from Queen’s University in Kingston, Ontario, and the University of Ottawa decided to focus intently on whether a nonresponder to one form of exercise could benefit by switching to another.They began by gathering 21 healthy men and women and determining their VO2 max, a measure of how much oxygen the lungs can deliver to the muscles; heart rates; and other physiological parameters related to aerobic fitness.Then they had each volunteer complete two very different types of workouts. Each training regimen lasted three weeks, and the researchers waited several months before starting the next regimen, so that volunteers could return to their baseline fitness.One three-week routine involved typical endurance training: riding a stationary bicycle four times a week for 30 minutes at a moderately strenuous pace.The second type of exercise revolved around high-intensity intervals. Each volunteer completed eight 20-second intervals of very hard pedaling on a stationary bicycle, with 10 seconds of rest after each bout. The intervals were brutal but brief.At the end of each three-week session, the researchers again checked each volunteer’s VO2 max and other fitness measures.As a group, they had gained admirable amounts of fitness from both workouts and to about the same extent.But individually, the responses varied considerably.About a third of the people had failed to show much if any improvement in one of the measures of fitness after three weeks of endurance training. Similarly, about a third had not improved their fitness much with interval training. And after each type of workout, some participants were found to be in worse shape.A majority of the participants, in other words, had failed to respond as expected after one of the workouts.But, importantly, no one had failed to respond at all. Every man and woman had measurably improved his or her fitness in some way after one of the sessions, if not the other.Those who had shown little response to endurance training generally showed a robust improvement after the interval sessions, and vice versa.These data suggest that “there is no one-size-fits-all approach to exercise,” says Brendon Gurd, an associate professor of kinesiology at Queen’s University who oversaw the study. “But it does seem as if there is some size that fits everyone.”The question is how to determine which form of exercise best fits you.The answer, Dr. Gurd says, is simple trial and error.Before beginning a new exercise routine, he says, measure your fitness. You can do this by briskly walking up several flights of stairs or quickly stepping onto and off a box three or four times. Then check your pulse. This is your baseline number.Now start working out. Walk. Jog. Attend interval training or spin classes.After about a month, Dr. Gurd says, repeat the stair or step test. Your pulse rate should be slower now. Your workout sessions should also be feeling easier.If not, you may be a nonresponder to your current exercise routine.In that case, switch things up, Dr. Gurd recommends. If you have primarily been walking, maybe try sprinting up a few flights of stairs and walking back down, which is a simple form of interval training.Or if you have been exercising with intervals and feeling no fitter, perhaps jog for a month or two.The message he hopes people will glean from his and other studies of exercise nonresponders “is not that you shouldn’t bother exercising because exercise might not help you,” Dr. Gurd says. “It does help everyone, once you find your own best exercise.”"
Pregnancy Complication Tied to Eye Problems Later in Life,"Pre-eclampsia — the pregnancy complication characterized by high blood pressure and potential organ damage — is linked to eye problems in the mother later in life, new research has found.Canadian researchers tracked more than a million women who delivered babies in Quebec between 1989 and 2013, of whom 64,350 were given a diagnosis of pre-eclampsia. Then they followed them using hospital discharge data over the years. The study is in Obstetrics and Gynecology.After adjusting for age, socioeconomic status, diabetes, hypertension, obesity and other factors that can affect the eyes, they found that compared with women who did not have pre-eclampsia during pregnancy, those who did had 1.6 times the risk of retinal detachment and nearly double the risk of other diseases of the retina. The increase in risk began right after delivery and grew steadily over 15 years of follow-up. Women with pre-eclampsia early in pregnancy were at greater risk than those whose pre-eclampsia began later.“Pre-eclampsia is a good indicator of chronic disease later in life” for the mother, said the lead author, Dr. Nathalie Auger, of the University of Montreal Hospital Research Center. “Those women who have had pre-eclampsia should begin to adopt healthy lifestyles to help reduce their risk of chronic disease, including the risk of eye disease.”"
Iron Deficiency Anemia Tied to Hearing Loss,"Iron deficiency anemia may be linked to hearing loss, new research has found.Researchers studied 305,339 men and women ages 21 to 90, of whom 4,807 had hearing loss and 2,274 had iron deficiency anemia.Hearing loss was more prevalent among women in the sample, and after adjusting for sex, the researchers found the risk for hearing loss was nearly two and a half times as high in those with anemia.The risk for sensorineural hearing loss, the type linked to problems in the nerves of the inner ear, was 82 percent higher in those deficient in iron. There was an insignificant increase in risk for those with conductive hearing loss, caused by a problem in the ear canal, eardrum or bones of the middle ear. The study is in JAMA Otolaryngology — Head & Neck Surgery. Many cases of hearing loss have no known cause.Although the reason for the association remains unknown, animal studies suggest that iron deficiency may reduce blood flow to the inner ear, affecting the cochlear ganglion, the group of nerve cells that transmit sound to the brain.“Our study does not say that iron deficiency causes hearing loss, but only that there is a link between the two,” said the lead author, Kathleen M. Schieffer, a doctoral candidate at Pennsylvania State University. “I would not recommend that anyone take iron supplements prophylactically without consulting a physician.”"
"On Long Migrations, Birds Chase an Eternal Spring","Bird migrations have stumped the greatest minds for thousands of years. Aristotle thought that the robins living in Greece in the winter somehow turned into redstarts in the summer. In fact, robins migrate from Greece to Northern Europe around the time redstarts arrive from Africa.Scientists have gotten a much better understanding of bird migration in recent centuries, but there’s a tremendous amount they have yet to learn. After tracking more than three dozen birds with sensors for thousands of miles, a team of researchers reported on Wednesday that their migration defied the expected course.Instead of simply flying straight from their summer grounds in Denmark to their winter site in Africa, the birds stretched out their journey, stopping at several places along the way for weeks at a time.“It’s more of a nomadic life,” said Kasper Thorup, a bird migration expert at the University of Copenhagen and co-author of the new study. “They hardly have a place to call home.”The journey was exquisitely well timed to coincide with high levels of vegetation at each site, he and his colleagues found. These habits, honed by thousands of years of evolution, probably helped them enjoy a good diet of insects on their trip. This may be a common strategy among the world’s migratory birds, but Dr. Thorup and his colleagues warn that it may be threatened by climate change.Previous generations of researchers could rely only on indirect clues to the travels of birds. Traditionally, ornithologists caught a bird at its summer breeding grounds, put an identifying band on its leg, and then waited for someone to spot it wherever it ended up for the winter. Such studies said little about where the birds went between points A and B.Today’s migration researchers are finally filling in some of those gaps. Some are analyzing millions of crowdsourced bird sightings. Others are fitting birds with miniature tracking devices.“We have all these resources coming online, and so we can replace speculation with observation,” said Frank A. La Sorte, a research associate at the Cornell Laboratory of Ornithology.In 2002, the Cornell lab started a program called eBird with the Audubon Society. Amateurs fill out an online form each time they go birding, noting all the species they spot. Dr. La Sorte and his colleagues analyze the records, tracking a number of migratory birds that travel through North America each year.The researchers have found that birds migrate in loops, rather than follow a straight line north and south. In summer, birds heading to eastern North America, for instance, catch tailwinds that help them get over the Gulf of Mexico.The birds end up drifting to the west, but they still save energy despite the longer route. On the way back south, though, they take a more direct path across the Gulf.In western North America, food plays a big part in the migration loop. Birds fly at night and then land to feed on insects during the day. In the spring, their routes take them to places where plants have put on a lot of growth. That’s probably also where the birds can find insect larvae to eat.While eBird gives Dr. La Sorte information about millions of birds, it can show him only what birders are seeing. Other researchers are suiting up small squadrons of birds with tracking devices to follow them through their entire migrations.For the new study, published in the journal Science Advances, Dr. Thorup and his colleagues put lightweight devices on common cuckoos. As the birds migrated between Denmark and Central Africa, they sent signals to satellites showing their location.The researchers also tracked two smaller migratory species traveling from Denmark to sub-Saharan Africa: thrush nightingales and red-backed shrikes. These birds are too small to carry the weight of satellite transmitters, so Dr. Thorup and his colleagues fitted them with even tinier devices called geo-locators.These sensors record only sunlight levels throughout each day. When the birds returned to Denmark, the scientists recovered the geo-locators and used each day’s data to plot the birds’ routes.Studying 38 birds in total, the scientists found the animals didn’t move directly from their summer grounds to their winter grounds. Instead, the birds would fly for a few days, stop somewhere for a few weeks, and then move on again.Red-backed shrikes, for example, leave Denmark and reach southeast Europe in August. In October, they go to East Africa. By December, they’re in southern Africa. And in April, they’re back in East Africa again.Throughout their journey, the scientists found, the three species timed their flights so that they reached feeding grounds once they were abundant with vegetation. Dr. Thorup suspects that the birds are able to make meals of local insect larvae feeding on the plants.The new data show that even though the birds ended up in the same places in Africa, they sometimes followed different routes. Dr. La Sorte and his colleagues have found similar flexibility in North American birds, which often adjust their route and speed when over the Gulf of Mexico or the Atlantic Ocean, perhaps to cope with changing weather conditions.It’s possible that birds somehow combine short-range flexibility with a navigation system, hard-wired into the brain, that guides them to the places where they can find the most food to eat.“You don’t cross the Sahara without knowing it’s good on the other side,” said Dr. Thorup.That strategy works well when birds can be sure to find food at the same place at the same time each year. But climate change is altering the calculus.In Northern Europe and North America, for example, plants are greening up earlier in the spring. In Africa, rainfall patterns are shifting, changing the times at which plants put on new leaves and fruit.Dr. Thorup and his colleagues compared the migration routes of the birds to computer projections of how ecosystems will change in response to global warming over the next few decades.They concluded that climate change may make migrations much harder on the birds.In the summer, for instance, they will need to fly farther north to find food. “And when they arrive in Africa, there are no obvious places for them to go,” said Dr. Thorup.Of course, birds have not migrated along the same paths for millions of years. Ice age glaciers gradually retreated from places like Denmark only about 11,000 years ago, allowing birds to colonize them for summer breeding.But this change in bird migration was probably the result of natural selection acting on hundreds of generations of birds. Human-driven climate change is moving much more quickly.“We’re worried that they won’t have the time to adapt,” Dr. Thorup said."
Bats Like Their Plant Nectar Sweet — Though Maybe the Plants Know Better,"This is how we’re taught to count as children: 1, 2, 3, 4, 5. Yet our innate grasp of quantities isn’t linear. We’re more likely to experience the world in ratios, like 1, 2, 4, 8, 16. It’s easier for us to see the difference between one and two marbles than 15 and 16 of them.In this way, we’re a lot like certain types of bats who have shaped the evolution of the plants they pollinate by making proportional judgments about what they’re willing to eat. That’s the finding of a study published in Science on Thursday. The study set out to answer an old evolutionary riddle: How do plants pollinated by bats get away with offering nectar in much lower sugar concentrations than the bats prefer? It turns out the plants are just giving the bats what they appear to want.Given a choice through experiments, bats choose syrupy nectars, with 60 percent sugar — but the plants they pollinate in the wild produce watery nectars with 20 percent sugar.“Maybe it’s the plants enforcing a dilute nectar that they prefer on the animals — or maybe it’s the bats exerting selection pressure,” said York Winter, a professor of cognitive neurobiology at Humboldt University, and one of the study’s authors.To figure out which scenario was happening, his team ran evolution simulations in the field, on the computer and in the lab, assuming that the bats were choosing certain plants to pollinate over others.Combining these simulations, the researchers found an explanation for how nectar-feeding bats end up preferring nectars that are less sweet — particularly when there’s fierce competition for a limited amount of nectar. The crux of that explanation? The same kind of nonlinear, proportional decision making that people use in many everyday judgments.This pattern is encapsulated by the Weber-Fechner law, which says that animals — including people — commonly perceive physical stimuli in relative increments rather than absolutes.Given one type of input, the Weber-Fechner law is relatively straightforward. But when you’re forced to deal with multiple considerations, like trying to simultaneously judge prices and sizes of cereal boxes at the grocery store, the effect becomes more complicated. Which factor will stand out more, and therefore carry more weight in your decision making?Nectar-feeding bats also consider two things at the same time: the volume of available nectar, and its sugar concentration. They prefer high levels of both, but in the wild, nectar sugar concentrations are generally midrange, while volumes per bat are low, especially when many thirsty bats are competing for limited supplies.The Weber-Fechner law dictates that the bats perceive increases in volume more acutely than they do increases in sugar concentration. In other words, they are more sensitive to changes in quantity than in quality.“Gaining just a little bit more nectar causes a much stronger change in sensation — so they go to flowers where they get a little bit more nectar,” Dr. Winter said.Over many iterations, the researchers’ simulations confirmed, the bats help pollinate plants that produce more nectar, even if that nectar is more watery and less sugary.Dr. Winter is intrigued by the possibility of applying these findings to human behavior. How do people make decisions when they have to take into account multiple factors?“Multiple dimensions can interact and cause nonrational decisions, where you are given two options and you actually take the lesser one,” Dr. Winter said.Consider that a proportional sense of quantities is what sometimes leads people to expend more effort saving $5 on a $10 purchase than $10 on a $100 purchase.So, the next time you find yourself defaulting to rough estimates, you may want to stop and disentangle your perceptual biases. Take this lesson from nectar-feeding bats: It’s all relative, until the only nectar that’s left for you to drink is watery."
"Endangered Species and the Stuff We Buy, All Mapped Out","The things that people buy and consume can have deadly consequences for the planet’s wildlife. Now a series of maps show where it’s hurting the most.Daniel Moran, an industrial ecologist at the Norwegian University of Science and Technology, and his colleague Keiichiro Kanemoto from Shinshu University in Japan, developed the maps for a paper published on Wednesday in Nature Ecology & Evolution to illustrate the impact of what they call a biodiversity footprint. Dr. Moran sees this idea as an early step toward creating tools that will allow nations to one day regulate biodiversity through trade, as some currently do with carbon.People like stuff, but unsustainable sourcing of that stuff has been damaging to the planet’s biodiversity. In the last 500 years, around 1,000 animals that we know of have gone extinct, mainly because of habitat destruction. Estimates vary, but the rate of extinction today is somewhere between 100 and 1,000 times as high as it was when humans didn’t exist, scientists say.To visualize the link between global trade and its environmental impact, the maps connect the supply chains of traded commodities in 187 countries with 6,803 animals classified as vulnerable, endangered or critically endangered by the International Union for Conservation of Nature and BirdLife International. It looked at the 166 threats stemming from human activity that affect each animal and tracked where commodities resulting from that activity eventually end up.The regions with the biggest impact were the United States, the European Union and Japan. The European Union and the United States pose especially big threats to marine life in Southeast Asia, where wildlife has been hit hard by nearly every country in the world. In the areas most under threat, rich biodiversity converges with heavy economic activity. Generally, that excludes the United States and Europe, where biodiversity has already been heavily reduced by human populations.To help reduce the damage, consumers can demand more sustainably sourced goods with adequate labeling, Dr. Moran said. Most of the impact comes from food and fiber products like palm oil, unsustainably produced coffee and tea, paper, lumber, and cotton.But the map has its limits, and doesn’t track the density of threats to any specific species tied to any particular production site."
