headline,story-content
Assumptions and Attitudes Don’t Survive Cancer,"MALIGNANT Medical Ethicists Confront Cancer.By Rebecca Dresser.272 pages. Oxford University Press. $29.95.MEMOIR OF A DEBULKED WOMAN Enduring Ovarian CancerBy Susan Gubar.288 pages. Norton. $24.95.Health care is supposed to move in only one direction, from horizontal to vertical, bed to door. The staunchly upright caretakers who wave the traffic along are not supposed to crumple backward into bed themselves, and when they do, no one is more surprised than they are.Doctors who become ill have written about the emotional whiplash of the experience so often that the “had I but known” theme has grown a little old. Two new books bring some welcome variation: Many other professionals spend their workdays focused on the body, and even those who don’t actually perform hands-on care may find precious assumptions demolished by serious illness.Ethicists are medicine’s theoreticians; some are primarily scholars, while others head right onto hospital wards as a combination of critic, coach and umpire. They come to know the terminology of illness and the perils of treatment very well, and because insoluble clinical problems are their daily fodder, they have rehearsed the standard “if this ever happens to me” scenario as often as anyone.Still, nothing prepares anyone for the horizontal experience, as seven medical ethicists discovered when they or a spouse received a diagnosis of cancer. They were so collectively shaken that they formed a discussion group, and then, like good academics, turned the proceedings into a book.Rebecca Dresser, editor of “Malignant,” is a professor of law and medical ethics at Washington University in St. Louis and a survivor of oral cancer. As an ethicist, she has a firm professional commitment to patient autonomy, the doctrine of “it’s your body and you alone decide what happens to it”. As a patient, she got herself into serious trouble wielding that autonomy: Unable to eat or drink, she firmly refused a feeding tube until she almost starved to death. Finally, her caretakers strong-armed her into changing her mind, and she eventually made a full and grateful recovery.As director of the bioethics program at the University of Wisconsin, Dr. Norman Fost regularly deplores our national pastime of wasteful and unnecessary medical testing. Yet as a patient, he writes, he has personally benefited enormously from just such testing, with not one, not two but three separate serious illnesses diagnosed with entirely unwarranted tests, leaving him with a bad case of what he calls “hypocrite’s guilt.”Dan Brock, the philosopher who directs the division of medical ethics at Harvard Medical School, learned he had prostate cancer at age 63, neither young enough nor old enough to simplify the many choices in the management of that disease. As an ethicist, Dr. Brock deplores old-style medical paternalism (the doctor orders, the patient obeys). As a patient, he was confused about treatment options, and none of his “good, nonpaternalistic doctors” pushed for any particular one. The resulting uncertainty was “the hardest part of the whole business,” he writes.It is hardly news that theory sometimes falls apart in practice, but the seven contributors to this volume reweave the threads of the ideal and the real into a set of earnest, readable reflections. One might be tempted to conclude that it represents a pinnacle of academic writing, were its well-mannered achievements not so roundly bested by the next book on the shelf.That is Susan Gubar’s staggering, searing “Memoir of a Debulked Woman.” Ms. Gubar may not be a health professional, but as a noted feminist critic (she is an author of the influential 1970s classic “Madwoman in the Attic”), she has certainly spent a career immersed in the meaning and functions of the female body. In one of those inexplicably savage medical ironies, she was felled in her early 60s by the worst of the “female” diseases: ovarian cancer. As is common, it had spread throughout her abdomen by the time of diagnosis.Cases like Ms. Gubar’s are usually first treated with the surgical removal of as much cancer as possible, along with all dispensable abdominal organs that are affected or at risk. This is the “debulking” of her title, and it is about as close to evisceration as civilians can experience. It became her focal metaphor for the experience of sudden dire illness, as all other interests drop away save “an overriding and offensive obsession with one’s own physical vulnerability.” On a less literary note, the procedure winds up bringing her almost more physical grief than the cancer itself.Ms. Gubar moves back and forth between poet and patient, with the occasional sidestep into academic mode as she reviews writing by women affected with similar illness. It is a difficult and potentially cringe-making project.But even the most skeptical and finicky reader — even the healthy reader, even the healthy male reader — will not put this book down. Some of its appeal comes from Ms. Gubar’s skill with textual analysis, and some from various appealing verbal shenanigans (has anyone else found and pondered the “mother” in chemotherapy, for instance?). Most gripping, though, is her frank, courageous account of life with a horrific postoperative infection in her large intestine that came to involve the buttock area.You don’t find infections like this one on slick, ultrasanitized “hospital” TV or in purported tell-all memoirs. You do, of course, find them in real life. Ms. Gubar deserves the highest admiration for her bravery and honesty as she bangs down yet one more door in her career — even if, sadly, it belongs to a place she had not wanted or intended to enter."
Spring&#8217;s False Start,"Q. After a late-winter warm spell that was followed by early-spring cold, I noticed that the trees in my neighborhood did not fully blossom. Even crab apple blossoms perished in the cold. What can we expect by summer?A. Plants are very resilient and should not suffer long-term damage from such weather patterns, said Mark Fisher, director of horticulture at Brooklyn Botanic Garden — though he added that if fruit-tree flowers die off, there will be a missing fruit crop.“It is not uncommon for us in a normal spring to have warm days followed by cool days,” he said. “A cold snap following warm weather will just slow things down.”One thing that could potentially cause long-term harm, Mr. Fisher said, is snow, which can break leafy branches and kill new growth.For that reason, he said, “our native trees are slower to leaf out — just to be on the safe side and protect themselves from this situation.”Another seasonal threat to the fruit crop, Mr. Fisher said, is that in rainy springs, when trees bloom in sustained wet conditions, “pollination is impacted, because bees and many other common pollinators don’t like the rain.”    C. CLAIBORNE RAY "
E.R. Doctors Face Quandary on Painkillers,"Dr. Bruce Lobitz, an attending physician in the emergency department at Upstate Carolina Medical Center in Gaffney, S.C., sees about 10 patients a week complaining of toothaches. “The bane of our existence,” he calls them.It’s not just that doctors like him lack the training and tools to solve their dental problems. Many of these patients, he fears, complain of tooth pain simply as a ruse to get prescriptions for narcotics.“Almost all dental patients request a prescription for narcotic pain pills,” Dr. Lobitz said. “ ‘I just need something to tide me over until I can see a dentist’ — that’s the classic line.” Sometimes, drug-seekers will show their cards: “They’ll say they’re allergic to everything except Vicodin.”Dental patients — mostly uninsured or indigent — are not unusual in emergency rooms. Poor patients may forgo preventive care and delay treatment until they face a medical crisis. In many states, adult dental benefits under Medicaid, the government insurance program for the poor, have been scaled back or eliminated. And dentists often don’t accept Medicaid patients.But emergency physicians like Dr. Lobitz cannot know whether someone who claims to be in agony from dental issues is telling the truth — or simply plans, he said, to “go to the next emergency room, next town over, and get another 30 Vicodin.”Dr. Gail D’Onofrio, chairwoman of the emergency medicine department at Yale School of Medicine, has studied alcohol and drug abuse in emergency rooms. “The overuse of narcotics is a huge problem, and when a patient presents, especially for dental pain, it’s difficult to make an objective assessment,” she said. “It puts the physician in a difficult situation to assess whether or not someone truly needs pain medications. We err on the side of treating pain, and it is a huge potential for abuse.”The frequent prescription of narcotics in emergency departments for dental pain has been quantified for the first time by research financed by the National Institutes of Health, bringing to light another way opioids get into circulation and contribute to the rampant abuse of painkillers in the United States.From 1997 to 2007, painkillers were prescribed in three of four visits to the emergency department for dental complaints; roughly half of visits resulted in a prescription for antibiotics, according to a new analysis of the National Hospital Ambulatory Medical Care Survey by Dr. Christopher Okunseri, a practicing dentist and an associate professor of public health at the Marquette University School of Dentistry in Milwaukee.Over that period, the number of painkiller prescriptions for dental patients in emergency departments rose 26 percent, and antibiotic prescriptions jumped 41 percent, according to the report, published online in January in the journal Medical Care.“E.D. doctors don’t have the training or expertise to provide definitive care, so the easy way out for them is medication,” Dr. Okunseri said. “If you’re not careful, you’ll create more addicts.”In interviews, many emergency department doctors acknowledged that they write plenty of prescriptions for opioids for patients complaining of dental pain, but they feel they face a conundrum. “I admit that some people get drugs out of me who shouldn’t get them,” said Dr. Tom Benzoni, an emergency physician who has worked for 18 years at Mercy Medical Center in Sioux City, Iowa.Yet some patients are genuinely in pain. “Do I deny them drugs so that one person doesn’t get a little more Vicodin?” he said. “It’s emptying the ocean with a teacup to try to address our societal drug problem.”Time pressures and heavy patient loads leave doctors with few choices. “If your goal is to get people out of the emergency room, it’s about stabilizing and shipping out,” said Dr. Nathaniel Katz, the director of the nonprofit Program on Opioid Risk Management at the Tufts Health Care Institute. “What’s the easiest way to get patients shipped out? Write them a prescription for Vicodin. How long does that take?”Dr. Katz, a neurologist and pain specialist, added that emergency department doctors lack the tools, like dental X-ray machines, to determine whether, for example, a tooth’s nerve is infected, an excruciating problem that often requires root canal or extraction.Relatively few emergency department workers are trained to give dental blocks, local anesthetic injections that offer immediate relief for 6 to 16 hours. In theory, the injections reduce the number of dental patients who leave the emergency room with potentially habit-forming narcotics.Dr. Rita K. Cydulka, the vice chairwoman of the emergency medicine department at MetroHealth Medical Center in Cleveland, offers dental blocks, but she said that others in her specialty don’t want to take the time. “They find it easier to write a script for antibiotics and painkillers, and send people on their way,” she said.Before writing a prescription, few emergency doctors use drug-monitoring programs to see whether patients have recently been given painkillers. Forty states have these programs and eight have enacted legislation to create them, said John Eadie, director of the Prescription Monitoring Program Center of Excellence at Brandeis University.“Unfortunately many emergency physicians don’t realize the importance of a quick check of the database to see how many painkiller prescriptions a patient has filled lately,” he said.During the first half of 2010, just one of 12 monitoring programs that reported to the Center for Excellence had 100 percent of prescribers registered to use their data. In the other states, the percentage of prescribers registered was only 9 percent to 39 percent, Mr. Eadie said.Some doctors say the many pressures they face create other incentives to quickly prescribe remedies for patients complaining of severe pain. For example, doctors are often rated by their hospitals with patient-satisfaction surveys for how they treat pain.“You can be faulted for not treating a patient’s pain — it’s considered the ‘fifth vital sign,’ ” said Dr. Abhi Mehrotra, the assistant director of the emergency medicine department at the University of North Carolina Hospitals. “We have to ask a patient’s pain, on a scale of 0 to 10, as well as document a reassessment of their pain after treatment.”Dr. Benzoni, who is routinely rated on patient satisfaction and sometimes asked by management to explain a bad review, said that he feels at times as if he faces a no-win choice. “If you’re going to criticize me for not giving out narcotics, and you never praise me for correctly identifying a drug-seeker,” he said, “then I’m going to give out narcotics.”"
Signs of Volcanoes In Mars Topography,"A new study suggests that the Athabasca Valles, a group of valleys near the Martian equator, were not formed by ice, as some scientists have theorized.Instead, high-resolution images of the valleys reveal more than 250 coiling spiral patterns that closely resemble lava flows on the Big Island of Hawaii. And that means the valleys on Mars were probably formed by volcanic activity, said Andrew J. Ryan, the planetary scientist at Arizona State University who discovered the coils.Mr. Ryan, a first-year doctoral student, reported the findings in the journal Science, along with his colleague Philip R. Christensen, also a planetary scientist at Arizona State.The Hawaiian coils were produced by a shearing effect, in which lava flows at different speeds and in different directions. It is likely that something similar happened on Mars, Mr. Ryan said.The coils may also have been formed through a spreading process like the one that produces oceanic crust. In that process, magma solidifies into a crust that slowly spreads outward, like two conveyor belts moving in opposite directions, Mr. Ryan said. A coil can form in the spreading center.Mr. Ryan said he suspected both volcanic processes had been at work on Mars, though he added, “In some areas shearing alone might have caused coil formation.”"
Abuse of Opiates Soars in Pregnant Women,"The fast-growing abuse of prescription drugs has reached maternity wards in hospitals across the country, with the number of pregnant women addicted to opiate drugs — and the number of babies born experiencing withdrawal symptoms — rising sharply over the last decade.A new study in The Journal of the American Medical Association has quantified the growth of the problem for the first time, as well as the increase in the costs of treating these newborns.The study estimated that every hour a baby is born in the United States with symptoms of withdrawal from opiates — roughly 13,500 babies a year. The condition, known as neonatal abstinence syndrome, can cause seizures, breathing problems, dehydration, difficulty feeding, tremors and irritability. Many infants are hospitalized for several weeks while doctors treat them with methadone or morphine to gradually wean them from their dependence on the drugs that their mothers used.“The incidence has gone crazy and I think it has the potential to become a national or international issue,” said Marie J. Hayes, a clinical neuroscientist at the University of Maine, and an author of an editorial accompanying the study. “People who previously might not have used heroin or the needle are more likely to use prescription opiates.”It is unclear whether babies exposed to opiates in the womb will experience long-term consequences. In the 1980s, there was alarm over whether babies born to cocaine-addicted mothers would suffer developmental problems or other damaging effects, but studies later showed that such problems were far from certain and much more likely if the child had to contend with economic hardship, family instability, poor education and other factors.The new study looked at two large databases that included a representative sample of patients from across the country and found that the number of pregnant mothers using opiate drugs jumped fivefold from 2000 to 2009. The number of infants with neonatal abstinence syndrome nearly tripled in the same period. The average cost of taking care of each infant climbed to $53,400 from $39,400, adjusted for inflation. Medicaid paid for more than three-quarters of the cases, since many of the women were low-income.“These babies require a tremendous amount of nursing care,” said Dr. Mark Hudak, chairman of pediatrics at the University of Florida College of Medicine in Jacksonville and an author of new guidelines on neonatal abstinence syndrome issued by the American Academy of Pediatrics this year.Infants in the study spent an average of 16 days in the hospital, usually in neonatal intensive care units, which are especially expensive because of the specialized nursing care. Since 2000, the length of time infants spend in the hospital has not decreased, suggesting that doctors have not yet learned how to make treatment for withdrawal more efficient, said Dr. Stephen Patrick, an author of the study and a neonatologist in the University of Michigan Health System.“Are there other places in the hospital that can treat them?” like standard pediatric wards or outpatient clinics, Dr. Patrick asked. “Are there different medications or ways to treat them?”Dr. Hudak recommends trying to soothe babies first by cuddling them and placing them in darkened rooms. If that is unsuccessful, the newborns are given methadone, morphine or another drug related to what the baby was exposed to in utero; the drug is tapered off gradually until the baby is weaned. That process requires careful monitoring. “These drugs are very easy to overdose babies with,” Dr. Hudak said. “There have been deaths.” And if babies are weaned too soon, “they can wind up getting rehospitalized.”Still, despite the risks, studies suggest it is more effective to give the babies a drug related to what their mothers were taking, rather than just treating the symptoms of the babies’ withdrawal — seizures and breathing problems, for example, said Hendrée E. Jones, a Johns Hopkins University researcher in psychiatry and behavioral sciences.But the experts agreed that the best approach is to deal with women’s drug addictions before they are pregnant."
Simple Device Helps Delay Birth to Lift Babies’ Chances of Survival,"In wealthy countries, some very premature babies are saved in intensive care units. In poor countries, they often die or develop blindness, retardation, lung problems or cerebral palsy.Now a new study has found that in women at high risk of premature birth, a pessary — a small silicon collar placed around the neck of the cervix (as seen on ultrasound, above) — may delay birth until a newborn has a greater chance of survival.It also appears affordable, at least in middle-income countries, since pessaries cost less than $50 each and could be made cheaply if demand was greater. Placing one normally requires an ultrasound scan, but ultrasound machines are fairly common in hospitals and clinics in all but the poorest countries.The study, published in The Lancet last month, was the first randomized trial of pessaries for this purpose.Various pessary designs have been around for centuries, usually to prevent the uterus from prolapsing into the vagina or causing stress incontinence.For this trial, doctors at five Spanish hospitals divided in half a group of 385 women, all of whom had cervixes less than an inch long, which put them at high risk for early labor. Only 6 percent of the women who got pessaries give birth prematurely, compared with 27 percent of those who did not get them.Exactly why pessaries delay labor is unclear. In an editorial, The Lancet said the study raises the “novel and exciting possibility” that the load-bearing capacities of pelvic organs are important in pregnancy and starting labor."
"In Birds’ Pursuit of Love, New Plant Life Blooms","Male bowerbirds cultivate plants, a new study reports, though their gardening work appears to be unintentional.The birds, found in Australia and Papua New Guinea, are named for the extravagant structures they build to woo females. As part of their courting strategy, they decorate these bowers with fruits, and the seeds of these fruits germinate. This results in new plants of the species Solanum ellipticum, also known as the potato bush.“On average you find about 40 plants where bowers are,” eight times as many as at random sites, said Joah R. Madden, an evolutionary biologist at the University of Exeter in England.The findings appear in the journal Current Biology.The researchers found that the birds were not picking areas with high plant concentrations to build their bowers, since the plants began to appear after their arrival.“These plants are arriving after the bowerbirds,” Dr. Madden said. “In a sense the male is cultivating them.”It appears to be an excellent symbiotic relationship, he said. When the birds build their bowers, they clear the area around them, creating ideal growing conditions for the plants.“When we look around bowers, only 30 percent is covered with grass, shrubs, compared to random sites, where’s there about 50 percent,” Dr. Madden said.And male bowerbirds surrounded by more plants had more success with mating.Curiously, males seem to cultivate a duller, grayer version of the fruit; fruits grown farther from bowers were a more yellowish green.Dr. Madden isn’t sure why. “Presumably because that’s what the female wants,” he said."
Best-Case Scenario: Two Chances to Mate,"Male orb-web spiders have an unenviable lot. Most of the time, their mates eat them immediately after copulating. Even if that doesn’t happen, males can mate at most twice in one lifetime.Now, a study of mating behavior in one species of orb-web spiders has revealed interesting patterns of male monogamy.“Males mate with a female a second time if she is very heavy and a virgin,” said Klaas Welke, a behavioral biologist at the University of Hamburg in Germany who led the research. “This was quite important to them.”Mr. Welke, a doctoral student, and his colleagues report their findings in the journal Frontiers in Zoology.The researchers studied a species known as Argiope bruennichi that lives in Europe, from the Mediterranean up to Scandinavia. Eighty percent of the time, females are successful in cannibalizing their mate during his first copulation.“Heavy females lay more eggs, so you have opportunity to fertilize more eggs,” Mr. Welke said.During mating, a male’s pedipalp, the organ that transfers sperm, breaks off in the female and forms a plug. This prevents subsequent males from fertilizing eggs. Each male spider has two pedipalps, allowing him to mate twice in a lifetime.When a male mates with a virgin, he is able to secure 100 percent paternity of her eggs. If she is not a virgin, paternity decreases by as much as 90 percent.The study also found connections between time of day and monogamy.Males are more likely to mate twice with the same female early in the day, Mr. Welke said. Later in the day, they tend to search for a second female to mate with."
Life in the Sea Found Its Fate in a Paroxysm of Extinction,"It may never be as well known as the Cretaceous extinction, the one that killed off the dinosaurs. Yet the much earlier Permian extinction — 252 million years ago — was by far the most catastrophic of the planet’s five known paroxysms of species loss.No wonder it is called the Great Dying: Scientists calculate that about 95 percent of marine species, and an uncountable but probably comparable percentage of land species, went extinct in a geological heartbeat.The cause or causes of the Permian extinction remain a mystery. Among the hypotheses are a devastating asteroid strike, as in the Cretaceous extinction; a catastrophic volcanic eruption; and a welling-up of oxygen-depleted water from the depths of the oceans.Now, painstaking analyses of fossils from the period point to a different way to think about the problem. And at the same time, they are providing startling new clues to the behavior of modern marine life and its future.In two recent papers, scientists from Stanford and the University of California, Santa Cruz, adopted a cellular approach to what they called the “killing mechanism”: not what might have happened to the entire planet, but what happened within the cells of the animals to finish them off.Their study of nearly 50,000 marine invertebrate fossils in 8,900 collections from the Permian period has allowed them to peer into the inner workings of the ancient creatures, giving them the ability to describe precisely how some died while others lived.“Before, scientists were all over the map,” said one of the authors, Matthew E. Clapham, an earth scientist at Santa Cruz. “We thought maybe lots of things were going on.”Dr. Clapham and his co-author, Jonathan L. Payne, a Stanford geochemist, concluded that animals with skeletons or shells made of calcium carbonate, or limestone, were more likely to die than those with skeletons of other substances. And animals that had few ways of protecting their internal chemistry were more apt to disappear.Being widely dispersed across the planet was little protection against extinction, and neither was being numerous. The deaths happened throughout the ocean. Nor was there any correlation between extinction and how a creature moved or what it ate.Instead, the authors concluded, the animals died from a lack of dissolved oxygen in the water, an excess of carbon dioxide, a reduced ability to make shells from calcium carbonate, altered ocean acidity and higher water temperatures. They also concluded that all these stresses happened rapidly and that each one amplified the effects of the others.That led to a wholesale change in the ocean’s dominant animals within just 200,000 years, or perhaps much less, Dr. Clapham said.Among the hardest hit were corals; many types, including the horn-shaped bottom-dwellers known as rugose corals, disappeared altogether. Sea sponges were also devastated, along with the shelled creatures that commanded the Permian reefs and sea. Every single species of the once common trilobites, with their helmetlike front shells, vanished for good.No major group of marine invertebrates or protists, a group of mainly one-celled microorganisms, went unscathed. Instead, gastropods like snails and bivalves like clams and scallops became the dominant creatures after the Permian. And that shift led directly to the assemblage of life in today’s oceans. “Modern marine ecology is shaped by the extinction spasms of the past,” Dr. Clapham said.So what happened 252 million years ago to cause those physiological stresses in marine animals? Additional clues from carbon, calcium and nitrogen isotopes of the period, as well as from organic geochemistry, suggest a “perturbation of the global carbon cycle,” the scientists’ second paper concluded — a huge infusion of carbon into the atmosphere and the ocean.But neither an asteroid strike nor an upwelling of oxygen-deprived deep-ocean water would explain the selective pattern of death.Instead, the scientists suspect that the answer lies in the biggest volcanic event of the past 500 million years — the eruptions that formed the Siberian Traps, the stairlike hilly region in northern Russia. The eruptions sent catastrophic amounts of carbon gas into the atmosphere and, ultimately, the oceans; that led to long-term ocean acidification, ocean warming and vast areas of oxygen-poor ocean water.The surprise to Dr. Clapham was how closely the findings from the Great Dying matched today’s trends in ocean chemistry. High concentrations of carbon-based gases in the atmosphere are leading to warming, rapid acidification and low-oxygen dead zones in the oceans.The idea that changes in ocean chemistry, particularly acidification, could be a factor in a mass extinction is a relatively new idea, said Andrew H. Knoll, a Harvard geologist who wrote a seminal paper in 1996 exploring the consequences of a rapid increase in carbon dioxide in the atmosphere on the physiology of organisms.“In terms of the overall pattern of change, what we’re seeing now and what is predicted in the next two centuries is riding a parallel track to what we think happened in the past,” he said.Dr. Clapham noted that Permian and modern similarities are not exact. The Permian ocean was easier to acidify than today’s ocean because it had less deep-water calcium carbonate, which offsets the acid. But he said that corals are the most vulnerable creatures in the modern ocean for the same reason they were during the Permian extinction. They have little ability to govern their internal chemistry and they rely on calcium carbonate to build their reefs.Chris Langdon, a University of Miami biologist who is a pioneer in ocean acidification research, said corals are undoubtedly in danger across the globe.“Corals, I think, are going to take it on the chin,” he said.In a recent study, Dr. Langdon examined the effects of naturally high acidification on coral reefs in Papua New Guinea. They showed drastic declines in coral cover at acidity levels likely to be present in the ocean by the end of this century, especially among branching corals that shelter fish.Hans Pörtner, an animal ecophysiologist at the Alfred Wegener Institute in Bremerhaven, Germany, said his work showed that a warmer ocean with less dissolved oxygen and greater acidity had an array of negative physiological effects on modern marine animals.The Permian extinction provides an archive of effects suggesting how modern marine creatures will fare as the carbon load in the atmosphere increases, he said.Like Dr. Clapham, he cautioned that the trends between the two periods were not exactly comparable. Back in the Permian, the planet had a single supercontinent, Pangea, and ocean currents were different.And he and Dr. Langdon noted that carbon was being injected into the atmosphere today far faster than during the Permian extinction. As Dr. Knoll put it, “Today, humans turn out to be every bit as good as volcanoes at putting carbon dioxide into the atmosphere.”"
An Underground Fossil Forest Offers Clues on Climate Change,"In the clammy depths of a southern Illinois coal mine lies the largest fossil forest ever discovered, at least 50 times as extensive as the previous contender.Scientists are exploring dripping passages by the light of headlamps, mapping out an ecosystem from 307 million years ago, just before the world’s first great forests were wiped out by global warming. This vast prehistoric landscape may shed new light on climate change today.Dating from the Pennsylvanian period of the Carboniferous era, the forest lies entombed in a series of eight active mines. They burrow through the rich seams of the Springfield Coal, a nationally important energy resource that underlies much of Illinois and two neighboring states and has been heavily mined for decades.Pushed downward over the ages by the crushing weight of rock layers higher up, the Springfield forest lies at varying depths, 250 to 800 feet underground. The researchers have only sampled it so far, in the vicinity of Galatia, Illinois, but they think it extends more than 100 miles in one direction; its width has not been ascertained. An earlier discovery by the same team, the Herrin Coal forest farther north in Illinois, is just two miles long.“Effectively you’ve got a lost world,” said Howard Falcon-Lang, a paleontologist at Royal Holloway, University of London, who has explored the site. “It’s the closest thing you’ll find to time travel,” he added.Curiously, the forest can be viewed only from below. The scientists crane their necks, illuminating the ceiling with miners’ helmet lamps. Hundreds of millions of years ago, trees and other plants grew atop thick peat that eventually compressed into coal; when that was excavated, the forest’s fossilized remains could be seen in the mine’s shale ceiling.“It’s a botanical Pompeii, buried in a geological instant,” said William A. DiMichele, a paleobiologist and curator of fossil plants at the Smithsonian Institution in Washington and one of the forest’s discoverers. He believes it was gently entombed by floods that successively washed through a swamp.A river as wide as the Mississippi snaked through the fossil-forest landscape; its course is still clearly visible. As the climate grew drier with rising temperatures in the late Carboniferous period, rainfall became seasonal and pounded sediment out of the soil, filling the river with silt. This suffocated the forest as the river spilled over its banks.The flooding was incremental and gradual, hardly ruffling the fern leaves that it entombed in mud and that can be seen, down to the smallest frond, on the ceilings of the coal mines.Huge fossilized trees still stand rooted in their original but compacted soil, surrounded by the litter of leaves that once fluttered down.Primitive, lizardlike reptiles were then evolving in the swamps, but there are almost no animal fossils in the Springfield forest — save for the occasional cockroach wing — since such creatures easily fled the rising waters.Such snapshots of the very distant past — tens of millions of years before the age of dinosaurs — are hard to come by. “It is extraordinarily rare to get fossil forests of any extent at all,” said Kirk Johnson, a paleobotanist at the Denver Museum of Nature and Science. “It’s usually just a few trees here and there. But here is an ancient geography — effectively unheard of.”Dr. DiMichele and colleagues have explored a five-mile path, or transect, starting at the ancient riverbank and arrowing through the swamp. Just as if this were a living forest, they have stopped along the route to identify individual leaves or study fallen trunks. Moving away from the river, a dense thicket of seed ferns gives way to tree ferns and low ground cover. Farther out, tree ferns are dwarfed by forest giants called scale trees.“It was a Dr. Seuss world,” Dr. Johnson said of the scale-tree forests: sun-washed quagmires studded with giant green stalks like asparagus spears, hundreds of feet tall. (Scale trees did not unfurl spreading crowns until the very end of their life cycle.) Dr. DiMichele has followed a fallen scale tree for 100 feet, before it disappeared behind coal not yet mined away. Six feet wide at the base, it was hardly any narrower at that great height.Scale trees had reptilian-looking, photosynthetic bark that coal miners sometimes mistake for dinosaur remains. Tube-shaped with spongy pulp inside, the trees snapped in two when storms ravaged the swamp. Immense, cylindrical roots kept stumps firmly upright, as seen in the mines.By coincidence, the earliest ancestor of these scale trees has just been discovered in a fossil forest in New York State. Repairs at Gilboa Dam, north of the Catskills, uncovered the floor of what may be the world’s oldest forest, scientists reported last month in the journal Nature. Dating from the Devonian Period, it is 78 million years older than the Springfield find, but the mapped remains are much smaller, covering about a third of an acre.There were no birds in the Pennsylvanian period, so insects flourished in the oxygen-rich air. Hiking through the Springfield forest would have meant dodging millipedes six feet long and dragonflies the size of crows.And yet the fossil leaves show much less chewing by insects than the vegetation in our modern backyards. Animals had barely evolved herbivory, the habit of eating live plants, and instead subsisted on putrefying remains in the fetid swamp.Two million years later — a geological eye blink — came vast extinctions of plants, wiping out many of the species found in the Springfield forest. The mighty scale trees all died off. Their modern relatives are quillworts, just six inches high.The reach of the Springfield forest should allow scientists to undertake ecosystem-wide analyses in a way never before possible in landscapes so ancient, and such studies may help them predict the effects of global warming today.“With our own CO2 rises and changes in climate,” said Scott D. Elrick, a team member from the Illinois State Geological Survey, “we can look at the past here and say, ‘It’s happened before.’ ”Today, we burn the scale trees of the Carboniferous by the billions: they have all turned to coal. Newly discovered, the Springfield forest is already crumbling to bits, as coal-mine ceilings quickly do after exposure. But with continued mining, more ceilings are being revealed every day.“You have to dig to find fossils, going inside the anatomy of the planet,” Dr. Johnson said. “Bill DiMichele realizes he has an entire industry digging for him, creating a tunnel into an ancient world.”"
